300
NIKOSINA-PAKROJA 0:101
HARTUMA-PALERMO 139:33
KANTONA-LUCERNA 139:39
RIMINI-PLOVDIVA 139:41
BEREZINA-ASALNI 139:42
VATERLO-DAIVANA 139:46
VIDZEME-LONDONA 139:48
METELIS-ULBROKA 139:54
BALTIJA-MEKSIKA 139:58
SALVANA-VIDZEME 139:58
GAMBIJA-VIDAUJA 139:66
PANERI-ARMAVIRA 139:69
PENKULE-KURZEME 139:7
NEAPOLE-MARVELE 139:70
SAIGONA-MIRNIJA 139:71
KAMPALA-NIAMEJA 139:77
BOSTONA-PAKROJA 139:79
TERMEZA-DEMOINA 139:81
JERSIKA-VERDENA 139:83
ARIZONA-ABAKANA 139:86
LAPZEME-NEAPOLE 139:87
KAZBEKS-RUMBULA 139:92
MARVELE-SALVANA 139:93
ORINOKO-KANTONA 139:97
SILMALA-ROSTOKA 139:98
AMERIKA-INDRAJI 14:0
ZAMBEZI-AMERIKA 14:100
BRRONKSA-RIMINI 14:101
BATUMI-TENERIFE 14:101
PITRAGS-MEKSIKA 14:103
ABADANA-HARBINA 14:103
HAIFONA-KVEBEKA 14:107
LATVIJA-VERDENA 14:109
DAMASKA-VATERLO 14:109
SALATI-MAUNALOA 14:113
SALVANA-RANGUNA 14:113
MEKSIKA-VILGALE 14:113
PAKROJA-NIAMEJA 14:118
SAFOLKA-PAKROJA 14:12
ARTJOMA-SUDETI 114:12
ALABAMA-HAUAIHE 14:124
RESIFI-LAZDIJI 114:124
KAPZEME-RUMBULA 14:124
HUDZONA-SAFOLKA 14:127
MAJORI-IGNALINA 14:131
BENGAZI-MILVOKI 14:136
KAZBEKS-ILMENIS 14:137
ORINOKO-SEVERNA 14:142
ANGLIJA-ARKTIKA 14:142
LOZANNA-BERGENA 14:144
CEILONA-LATVIJA 14:145
PASIENA-TENESI 114:147
SUDETI-PERLOJA 114:148
PERLOJA-PENKULE 14:149
KAMBIJA-TOTNEMA 14:150
DUBLINA-SALATI 114:150
PASIENA-RODOPI 114:21
VATERLO-INDRAJI 14:22
MARVELE-KIGALI 114:25
OBELIJA-TRIPOLE 14:26
JAKUTIJA-SUDETI 14:28
HUDZONA-PITRAGS 14:30
PASIENA-PASVALE 14:32
RAVENNA-NIAMEJA 14:32
SEVILJA-RIMINI 114:33
POLOCKA-TOTNEMA 14:41
PRIENI-AUSTRIJA 14:41
SIESIKI-DRUSTI 114:43
BERGENA-PERLOJA 14:44
UKRAINA-JAMAIKA 14:44
MALAVI-ARIZONA 114:44
BERGENA-PASIENA 14:46
MAKENZI-MILVOKI 14:49
TAIVANA-BIKINI 114:53
KAPZEME-PASIENA 14:58
JERSIKA-OLBERI 114:6
BRATSKA-MILVOKI 14:60
KIGALI-LONDONA 114:63
ROSTOKA-ISIKULS 14:66
SALIENA-PERLOJA 14:67
LOZANNA-TERMEZA 14:68
KANTONA-GRUZIJA 14:68
PASIENA-BATUMI 114:69
SALATI-INDRAJI 114:7
SERBIJA-ARIZONA 14:72
PRIENI-HARBINA 114:73
KAZBEKS-ARIZONA 14:74
RANGUNA-BRISELE 14:74
GVINEJA-TOMBUKA 14:75
PANERI-LILONGVE 14:76
PASVALE-LAZDIJI 14:77
PUIKULE-SIESIKI 14:78
KAZBEKS-KAJENNA 14:78
BOMBEJA-SAFOLKA 14:79
SILMALA-LAPZEME 14:79
SKOTIJA-VERDENA 14:80
ISIKULS-KORSIKA 14:82
HAIFONA-LAZDIJI 14:83
SEVERNA-LAPZEME 14:84
KURZEME-PUIKULE 14:88
KANTONA-VECUMI 114:89
PAKROJA-BATUMI 114:89
VATERLO-KANTONA 14:9
ABAKANA-POLOCKA 14:9
JANDZI-OBELIJA 114:97
ZAMBEZI-MILVOKI 14:98
ARTJOMA-BROMLI 114:98
LATGALE-TOMBUKA 14:99
SEVILJA-BENGAZI 140:109
RUMBULA-TOBRUKA 140:11
KIGALI-HIROSIMA 140:110
TERMEZA-LAPZEME 140:111
SEVILJA-DUBLINA 140:112
MARVELE-LONDONA 140:113
MAKENZI-NIAMEJA 140:114
JAKUTIJA-MORONI 140:117
SALIENA-BOMBEJA 140:123
TALLINA-TERMEZA 140:124
DAIVANA-BOSTONA 140:130
BALTIJA-TOBRUKA 140:132
VIDAUJA-ORINOKO 140:136
HARTUMA-PENKULE 140:136
DAMASKA-ISIKULS 140:14
TAIZEME-SEVILJA 140:141
SIESIKI-MARVELE 140:143
MILVOKI-HAVANNA 140:149
DAIVANA-OREGONA 140:15
ABADANA-KANTONA 140:2
MISISIPI-MAJORI 140:22
SAFOLKA-VIDAUJA 140:23
DAIVANA-PASIENA 140:25
BRATSKA-ABAKANA 140:25
PAKROJA-GRUZIJA 140:30
MEKSIKA-ULBROKA 140:31
TURCIJA-UKRAINA 140:32
ANGLIJA-VIDUKLE 140:32
VILGALE-KAMBIJA 140:33
SIESIKI-VILGALE 140:33
KORSIKA-PASVALE 140:36
NIKOSINA-VECUMI 140:36
GRUZIJA-BOMBEJA 140:40
AIZVOLGA-DRUSTI 140:41
ZEMGALE-LATVIJA 140:47
PUIKULE-LONDONA 140:48
SALIENA-BRUNEJA 140:5
METELIS-DURBANA 140:50
TAIVANA-BALTIJA 140:51
JERSIKA-ISIKULS 140:56
BATUMI-KARLAILA 140:59
BROMLI-AUSTRIJA 140:65
VIDAUJA-UKRAINA 140:65
SAIGONA-SEVILJA 140:65
NAHODKA-ORINOKO 140:67
KARTENA-SALVANA 140:70
LAPZEME-JERSIKA 140:72
LATGALE-ANGLIJA 140:76
ABAKANA-PERLOJA 140:78
ABADANA-SAKSIJA 140:80
VILGALE-PENKULE 140:80
HIROSIMA-VECUMI 140:81
ZEMGALE-LAPZEME 140:85
UKRAINA-SKOTIJA 140:88
ETIOPIJA-MALAVI 140:91
NANKINA-VERSEKA 140:92
PALERMO-NAHODKA 140:93
UKRAINA-RANGUNA 140:95
BOMBEJA-SALVANA 140:97
KAPZEME-BENGAZI 140:99
ABAKANA-BERGENA 141:103
OREGONA-HAVANNA 141:112
PANERI-TENESIJA 141:112
PASVALE-SAFOLKA 141:113
KAMBIJA-METELIS 141:116
SAKSIJA-TALLINA 141:117
DAMASKA-LONDONA 141:120
DOMINIKA-TAHITI 141:121
POLOCKA-ORINOKO 141:133
ORINOKO-ZAMBEZI 141:134
DAMASKA-LAPZEME 141:139
INDRAJI-ABADANA 141:14
BRISELE-KAPSUKA 141:142
INDRAJI-ZAMBIJA 141:143
SALIENA-VIDZEME 141:147
KAMPALA-BRATSKA 141:17
JAMAIKA-SALVANA 141:24
ABADANA-KAMBIJA 141:24
BAIREITA-PRIENI 141:24
KURZEME-BOSTONA 141:28
TAHITI-DETROITA 141:29
SAULAINE-PRIENI 141:29
MUKDENA-RAVENNA 141:31
KANTONA-PEDEDZE 141:39
KORSIKA-ARTJOMA 141:48
RANGUNA-ARTJOMA 141:48
TOMBUKA-ZAMBEZI 141:48
BENGAZI-RUMBULA 141:51
KARTENA-SAKSIJA 141:54
AMERIKA-TERMEZA 141:54
BEREZINA-BATUMI 141:56
PEDEDZE-VIDUKLE 141:6
PAROGLE-VIDZEME 141:6
OREGONA-ZAMBIJA 141:65
ALABAMA-CEILONA 141:7
UDMRTIJA-RIMINI 141:70
MAKENZI-VERSEKA 141:72
ISIKULS-VATERLO 141:75
KVEBEKA-UKRAINA 141:76
MENORKA-ALABAMA 141:8
SKOTIJA-ARTJOMA 141:8
METELIS-MIRNIJA 141:81
JERSIKA-DEMOINA 141:82
LILONGVE-RODOPI 141:87
TOMBUKA-PUIKULE 141:9
ABAKANA-DUBLINA 141:9
KAJENNA-KANTONA 141:97
DURBANA-HUDZONA 142:100
SUHUMI-ILINOISA 142:106
MIRNIJA-ABAKANA 142:107
HARBINA-ISIKULS 142:11
KIGALI-BRUKLINA 142:11
VIDZEME-VIDAUJA 142:11
PUIKULE-ISIKULS 142:110
DUBLINA-BRATSKA 142:115
SILMALA-ARKTIKA 142:118
TOBRUKA-SEIRIJI 142:125
OREGONA-KAIBALA 142:126
MAJORKA-TRIPOLE 142:127
JERSIKA-ANGLIJA 142:132
TAHITI-BRUKLINA 142:134
MAJAMI-LUISVILA 142:134
HARBINA-HAIFONA 142:136
ZEMGALE-MEKSIKA 142:143
OBELIJA-NIAMEJA 142:143
OREGONA-POCIEMS 142:145
VANAGI-KARLAILA 142:147
GAMBIJA-LAZDIJI 142:150
KURZEME-BOMBEJA 142:19
KAJENNA-VIDAUJA 142:2
NAHODKA-TRIPOLE 142:20
DUBLINA-KAZBEKS 142:21
SILMALA-PENKULE 142:25
DUBLINA-SIDNEJA 142:26
ROSTOKA-ZEMGALE 142:27
SEIRIJI-SALVANA 142:27
PASIENA-ZAMBEZI 142:3
KAIBALA-GVINEJA 142:3
ARKTIKA-ORINOKO 142:36
SALIENA-GRUZIJA 142:36
KATOVICE-ASALNI 142:4
MIRNIJA-KAPSUKA 142:4
GORKIJA-KANTONA 142:40
SILMALA-MARVELE 142:41
LUISVILA-MAJORI 142:43
ANGLIJA-BENGAZI 142:47
HARBINA-ARTJOMA 142:47
NANKINA-ISIKULS 142:48
OLBERI-AIZVOLGA 142:48
MILVOKI-METELIS 142:51
VIDZEME-KARTENA 142:56
SAIGONA-SERBIJA 142:58
KAMPALA-RAVENNA 142:58
JANDZI-SAULAINE 142:6
GAMBIJA-LOZANNA 142:6
SEVILJA-BOSTONA 142:62
KIGALI-TUNISIJA 142:62
BRATSKA-ZAMBEZI 142:64
KRIMULDA-SUHUMI 142:64
ARTJOMA-VERDENA 142:66
GAMBIJA-LONDONA 142:66
BALTIJA-ORINOKO 142:68
TELAVIVA-BIKINI 142:69
KAMPALA-ALABAMA 142:69
PASVALE-MILVOKI 142:71
SALVANA-GAMBIJA 142:77
PEDEDZE-NEAPOLE 142:78
KAMPALA-PENKULE 142:84
INDRAJI-TERMEZA 142:85
BRAZILJA-KIGALI 142:92
BOMBEJA-HAVANNA 142:93
SALVANA-ULBROKA 142:94
LAZDIJI-LAPZEME 142:98
MILVOKI-MEKSIKA 142:99
KAZBEKS-VERSEKA 143:1
MUKDENA-NANKINA 143:10
ROSTOKA-PENKULE 143:101
KARTENA-KAJENNA 143:103
NIAMEJA-MENORKA 143:106
TOMBUKA-AMERIKA 143:107
BOMBEJA-POLOCKA 143:110
BERGENA-BRUNEJA 143:110
GVINEJA-KAMBIJA 143:113
INDRAJI-DAMASKA 143:118
IGAUNIJA-SUDETI 143:119
BRISELE-GDANSKA 143:121
JERSIKA-METELIS 143:123
KAIBALA-BENGAZI 143:123
KAMBIJA-TAIZEME 143:126
ABADANA-PEDEDZE 143:126
SIDNEJA-ZAMBEZI 143:127
SALVANA-KAZBEKS 143:134
VIDUKLE-BALTIJA 143:136
KIGALI-RUDAMINA 143:136
RAVENNA-TALLINA 143:141
OBELIJA-ANGLIJA 143:141
ARKTIKA-SIDNEJA 143:142
HAUAIHE-KARTENA 143:144
BRISELE-NIAMEJA 143:144
VIDZEME-TALLINA 143:145
PITRAGS-VATERLO 143:145
SKOTIJA-POCIEMS 143:146
SKOTIJA-NANKINA 143:147
SEIRIJI-GDANSKA 143:148
BAHREINA-RESIFI 143:148
MAKENZI-NAHODKA 143:17
HARBINA-VATERLO 143:20
ABADANA-RANGUNA 143:21
MUKDENA-ZAMBIJA 143:21
NIAMEJA-KAIBALA 143:21
ARIZONA-UKRAINA 143:22
VERSEKA-PAKROJA 143:23
HARTUMA-LATVIJA 143:29
POLOCKA-KURZEME 143:31
TAIVANA-SEIRIJI 143:31
MARVELE-LIVORNA 143:35
PUIKULE-BERGENA 143:37
PERLOJA-MAKENZI 143:38
HAUAIHE-SALIENA 143:4
TERMEZA-ROSTOKA 143:45
SAFOLKA-LAPZEME 143:46
ABAKANA-VIDZEME 143:55
GVINEJA-GAMBIJA 143:55
SEIRIJI-HUDZONA 143:59
TOTNEMA-OBELIJA 143:64
MEKSIKA-KARTENA 143:71
POCIEMS-DAMASKA 143:73
SIDNEJA-SAFOLKA 143:74
ABADANA-ZEMGALE 143:78
SEIRIJI-NEAPOLE 143:81
LIVORNA-JERSIKA 143:83
SALVANA-KAIBALA 143:85
PRIENI-TENESIJA 143:86
ANGLIJA-SEIRIJI 143:88
KAPSUKA-SALVANA 143:94
PITRAGS-ABADANA 143:96
HUDZONA-HARTUMA 143:97
MORONI-TAHITI 8:144
LAZDIJI-GRUZIJA 144:1
RIMINI-TELAVIVA 144:100
TOBRUKA-MEKSIKA 144:102
HAUAIHE-ARTJOMA 144:102
KAJENNA-LIVORNA 144:105
HAUAIHE-KAZBEKS 144:106
NIKOSINA-BIKINI 144:111
METELIS-JAMAIKA 144:113
LUCERNA-SILMALA 144:114
MAKENZI-SAIGONA 144:114
SEIRIJI-PAKROJA 144:115
KAJENNA-SAKSIJA 144:12
SAFOLKA-TAIZEME 144:12
SEVILJA-VIDZEME 144:120
KATOVICE-KUMBRI 144:120
MIRNIJA-HAIFONA 144:121
PALERMO-PAKROJA 144:123
VILGALE-OBELIJA 144:123
MAKENZI-HARBINA 144:124
TOBRUKA-NIAMEJA 144:127
UKRAINA-ZEMGALE 144:13
BATUMI-TENESIJA 144:130
PENKULE-KARTENA 144:133
SIDNEJA-RAVENNA 144:142
ZEMGALE-DAIVANA 144:146
LILONGVE-TAHITI 144:146
KAMBIJA-SAFOLKA 144:148
TRIPOLE-MENORKA 144:150
ZAMBIJA-KVEBEKA 144:18
BAHREINA-BIKINI 144:21
RAVENNA-AMERIKA 144:24
SUHUMI-SALONIKI 144:3
VERSEKA-VILGALE 144:3
DRUSTI-ROZALIMA 144:30
TAHITI-RUDAMINA 144:30
KORSIKA-POCIEMS 144:32
KURZEME-TAIZEME 144:33
PUIKULE-ARKTIKA 144:37
TOTNEMA-AMERIKA 144:4
PEDEDZE-BRUNEJA 144:43
PENKULE-MAKENZI 144:49
BIKINI-BRAZILJA 144:64
VIDZEME-ARTJOMA 144:65
PASIENA-HARBINA 144:67
BENGAZI-HAVANNA 144:68
BOSTONA-SALVANA 144:69
MAJORKA-VERSEKA 144:72
GVINEJA-MENORKA 144:79
BRATSKA-AMERIKA 144:80
MENORKA-MAJORKA 144:82
RIONEGRO-BATUMI 144:82
ALABAMA-TALLINA 144:84
SAKSIJA-ROSTOKA 144:85
SAIGONA-LAZDIJI 144:88
GVINEJA-KANTONA 144:91
TAURAGNI-RODOPI 144:95
GVINEJA-LIVORNA 144:96
PASVALE-SALVANA 144:97
ROSTOKA-BALTIJA 144:98
OLBERI-BAIREITA 145:0
ABAKANA-TERMEZA 145:1
PASVALE-TOMBUKA 145:1
GRUZIJA-LOZANNA 145:100
BERGENA-ISIKULS 145:103
IGNALINA-TENESI 145:104
KANTONA-SALVANA 145:105
TEBRIZA-TURCIJA 145:105
BRUNEJA-GRUZIJA 145:107
SIESIKI-BENGAZI 145:108
SAFOLKA-RUMBULA 145:110
SUDETI-TELAVIVA 145:114
HAUAIHE-SKOTIJA 145:12
BRAZILJA-ASALNI 145:12
PENKULE-BENGAZI 145:12
PANERI-BRAZILJA 145:124
HAIFONA-AMERIKA 145:124
BROMLI-ILINOISA 145:127
BENGAZI-TAIZEME 145:128
BRISELE-GAMBIJA 145:134
GORKIJA-TOMBUKA 145:137
ZAMBEZI-TOTNEMA 145:139
TEBRIZA-KAIBALA 145:140
ZAMBEZI-TERMEZA 145:142
BRUKLINA-TENESI 145:143
TAHITI-MELNSILS 145:149
ARIZONA-VIDAUJA 145:18
VERSEKA-TAIVANA 145:2
ULBROKA-OBELIJA 145:2
TRIPOLE-KAPZEME 145:2
VIDUKLE-GDANSKA 145:20
SAIGONA-TALLINA 145:23
SEVERNA-GDANSKA 145:3
KAZBEKS-TEBRIZA 145:31
BIKINI-ROZALIMA 145:35
LOZANNA-ILMENIS 145:37
DAMASKA-ARIZONA 145:38
KAPSUKA-PERLOJA 145:39
KAMAJI-LILONGVE 145:44
TURCIJA-TOTNEMA 145:49
KAMPALA-PITRAGS 145:57
ILMENIS-TEBRIZA 145:58
KARTENA-DAIVANA 145:58
VIDAUJA-KANTONA 145:59
NANKINA-SERBIJA 145:6
SILMALA-KANTONA 145:64
TOTNEMA-MENORKA 145:65
NIAMEJA-MUKDENA 145:69
DURBANA-SALIENA 145:72
ILMENIS-TAIZEME 145:73
VERSEKA-DUBLINA 145:73
BRRONKSA-OLBERI 145:75
HAIFONA-KAPZEME 145:79
TAIZEME-UKRAINA 145:81
ZAMBIJA-VATERLO 145:82
VIDZEME-PASIENA 145:84
LAPZEME-VILGALE 145:87
VIETALVA-OLBERI 145:89
BALTIJA-TERMEZA 145:95
LOZANNA-SERBIJA 145:95
KVEBEKA-KARTENA 146:100
LUCERNA-MIRNIJA 146:102
VIDAUJA-SILMALA 146:102
BATUMI-MISISIPI 146:107
LONDONA-VIDUKLE 146:112
PENKULE-DEMOINA 146:116
TURCIJA-ABAKANA 146:116
SAKSIJA-BRISELE 146:119
TAIVANA-VIDAUJA 146:125
MARVELE-OBELIJA 146:13
TERMEZA-HAVANNA 146:13
MAKENZI-KAMBIJA 146:131
BALTIJA-SIDNEJA 146:132
LATVIJA-GORKIJA 146:135
GAMBIJA-MILVOKI 146:136
BROMLI-AIZVOLGA 146:138
SAIGONA-GRUZIJA 146:147
ILMENIS-SALIENA 146:147
JERSIKA-LATGALE 146:148
VATERLO-VERSEKA 146:148
MAJAMI-DETROITA 146:150
KAIBALA-LOZANNA 146:16
RANGUNA-HUDZONA 146:19
ABAKANA-FORMOZA 146:19
KIGALI-GROZNIJA 146:2
NEAPOLE-KAZBEKS 146:20
VERSEKA-SALVANA 146:25
LOZANNA-ABADANA 146:3
JANDZI-KRIEVIJA 146:3
TOTNEMA-HARTUMA 146:3
HARTUMA-KAZBEKS 146:30
SEVERNA-TRIPOLE 146:34
ARTJOMA-JERSIKA 146:40
NANKINA-PAROGLE 146:41
DAIVANA-OBELIJA 146:49
TEBRIZA-GAMBIJA 146:49
ZAMBIJA-ABADANA 146:56
VERDENA-TALLINA 146:60
ARTJOMA-ZAMBEZI 146:62
PASVALE-VIDUKLE 146:67
MAJORKA-SIDNEJA 146:67
DEMOINA-PEDEDZE 146:7
SEVERNA-BRUNEJA 146:70
AMERIKA-SILMALA 146:72
SILMALA-METELIS 146:72
PASVALE-VIDAUJA 146:73
MARVELE-MENORKA 146:73
GDANSKA-OREGONA 146:75
ABAKANA-INDRAJI 146:76
GDANSKA-SEVILJA 146:76
HARTUMA-KAMPALA 146:78
GVINEJA-RANGUNA 146:85
PASIENA-LAPZEME 146:86
TALLINA-CEILONA 146:89
SALIENA-METELIS 146:89
PENKULE-DUBLINA 146:92
SALATI-KUMBRI 7:147
MANHEIMA-SALATI 147:0
TRIPOLE-ILMENIS 147:0
BRUNEJA-TAIVANA 147:0
NIAMEJA-TAIVANA 147:1
NANKINA-BRUNEJA 147:1
ROSTOKA-MAJORKA 147:102
ASALNI-MAUNALOA 147:103
RUMBULA-GAMBIJA 147:118
PAKROJA-GAMBIJA 147:119
MEKSIKA-TAIVANA 147:12
SERBIJA-NEAPOLE 147:120
ARTJOMA-DUBLINA 147:130
MIRNIJA-TRIPOLE 147:132
ANGLIJA-SAIGONA 147:139
ARIZONA-PITRAGS 147:16
METELIS-LAPZEME 147:22
ZAMBEZI-DUBLINA 147:22
ZAMBEZI-ANGLIJA 147:24
RAVENNA-ARTJOMA 147:25
DURBANA-GVINEJA 147:25
TENESI-BRAZILJA 147:25
MIRNIJA-KVEBEKA 147:28
PUIKULE-SEVILJA 147:29
BRATSKA-LATVIJA 147:31
HARTUMA-ZAMBEZI 147:31
HUDZONA-KAMBIJA 147:34
INDRAJI-SILMALA 147:36
IGNALINA-KIGALI 147:36
TOBRUKA-POCIEMS 147:4
SUDETI-BRRONKSA 147:40
SALVANA-SILMALA 147:43
SALIENA-TURCIJA 147:5
PALERMO-MAJORKA 147:50
LAPZEME-HAUAIHE 147:52
PANERI-MISISIPI 147:53
JANDZI-BRUKLINA 147:56
KARTENA-HAVANNA 147:57
HARTUMA-PAKROJA 147:57
KAZBEKS-TRIPOLE 147:59
MARVELE-KAPSUKA 147:60
ANGLIJA-KAPZEME 147:62
SERBIJA-HUDZONA 147:63
HAVANNA-ARKTIKA 147:64
OBELIJA-VIDAUJA 147:7
VANAGI-OZOLAINE 147:74
ARMAVIRA-KUMBRI 147:77
ZAMBEZI-BRISELE 147:77
SAIGONA-KAPZEME 147:77
TAIZEME-PEDEDZE 147:8
ABADANA-ARKTIKA 147:80
TELAVIVA-SUHUMI 147:82
KAPSUKA-BALTIJA 147:86
SEIRIJI-DUBLINA 147:86
KAMPALA-TAIZEME 147:88
HARBINA-MENORKA 147:9
RAVENNA-TOMBUKA 147:91
PAKROJA-VIDUKLE 147:94
KAMBIJA-BENGAZI 147:98
UDMRTIJA-MALAVI 148:1
PERLOJA-GRUZIJA 148:10
SERBIJA-SILMALA 148:101
ARIZONA-KAPZEME 148:107
MIRNIJA-ORINOKO 148:11
OREGONA-MAKENZI 148:110
LIVORNA-ALABAMA 148:110
VERDENA-ALABAMA 148:112
VERSEKA-BERGENA 148:112
DEMOINA-TURCIJA 148:114
ZEMGALE-SERBIJA 148:115
VIDZEME-OBELIJA 148:118
LIVORNA-TURCIJA 148:120
SIDNEJA-VILGALE 148:13
BOSTONA-MUKDENA 148:131
ABAKANA-SKOTIJA 148:132
BRISELE-GVINEJA 148:132
NANKINA-ARTJOMA 148:134
SIDNEJA-SEIRIJI 148:134
GVINEJA-NIAMEJA 148:134
MEKSIKA-LONDONA 148:135
HUDZONA-TOMBUKA 148:136
OBELIJA-ARKTIKA 148:14
TELAVIVA-BROMLI 148:142
MENORKA-TAIVANA 148:143
TAIZEME-ORINOKO 148:143
SEVERNA-MAKENZI 148:146
DUBLINA-SILMALA 148:16
HARBINA-PERLOJA 148:20
BOMBEJA-HUDZONA 148:22
MARVELE-VERSEKA 148:24
PASIENA-KARTENA 148:28
OREGONA-VERDENA 148:29
ARTJOMA-CEILONA 148:29
SERBIJA-PITRAGS 148:29
PAROGLE-LOZANNA 148:31
POCIEMS-LOZANNA 148:36
BERGENA-VERDENA 148:38
JAMAIKA-BERGENA 148:39
SIDNEJA-GDANSKA 148:43
KAMPALA-TAIVANA 148:44
LONDONA-NIAMEJA 148:53
HAIFONA-KURZEME 148:54
PAKROJA-VIDAUJA 148:54
PRIENI-GARKALNE 148:56
DUBLINA-ZAMBIJA 148:57
SALIENA-KAJENNA 148:60
BENGAZI-VIDUKLE 148:62
MILVOKI-SEVILJA 148:63
ALABAMA-AMERIKA 148:66
PAROGLE-HUDZONA 148:68
ROSTOKA-RUMBULA 148:70
ZAMBEZI-NANKINA 148:72
KURZEME-SAIGONA 148:75
ISIKULS-KAMPALA 148:79
PALERMO-MARVELE 148:8
TAHITI-TUNISIJA 148:96
TUNISIJA-SUDETI 148:97
TOMBUKA-SEIRIJI 148:99
PAROGLE-ROSTOKA 148:99
HAIFONA-TOTNEMA 149:102
SEVILJA-ABAKANA 149:104
RAVENNA-ROSTOKA 149:107
VIDUKLE-METELIS 149:113
DURBANA-GRUZIJA 149:114
NAHODKA-TAIZEME 149:115
ISIKULS-SEIRIJI 149:116
ILINOISA-PANERI 149:116
MEKSIKA-PEDEDZE 149:118
GDANSKA-HARBINA 149:118
KAMBIJA-GAMBIJA 149:121
MENORKA-ISIKULS 149:122
LUISVILA-KUMBRI 149:124
SAKSIJA-SALIENA 149:126
MEKSIKA-MAJORKA 149:128
KRIMULDA-MAJAMI 149:131
RUDAMINA-MORONI 149:132
GVINEJA-PASVALE 149:138
VERDENA-ARKTIKA 149:141
MALAVI-KATOVICE 149:143
GARKALNE-OLBERI 149:143
VERSEKA-PENKULE 149:20
PENKULE-RAVENNA 149:20
FORMOZA-ZEMGALE 149:24
PERLOJA-JERSIKA 149:25
HUDZONA-MIRNIJA 149:28
ZAMBIJA-OBELIJA 149:30
LAPZEME-PASVALE 149:34
ALABAMA-RAVENNA 149:34
SALONIKI-DRUSTI 149:39
MILVOKI-NEAPOLE 149:39
MILVOKI-TERMEZA 149:42
KAZBEKS-JAMAIKA 149:43
KAPSUKA-HAVANNA 149:45
ILMENIS-POLOCKA 149:48
TENESI-ADELAIDA 149:48
RANGUNA-KAIBALA 149:57
POLOCKA-ROSTOKA 149:58
CEILONA-ZAMBEZI 149:6
ABAKANA-ZAMBIJA 149:7
BERGENA-SALVANA 149:72
PIEVOLGA-KIGALI 149:74
SAKSIJA-PERLOJA 149:76
DURBANA-SAKSIJA 149:76
RAVENNA-VERSEKA 149:8
GVINEJA-SIESIKI 149:81
KAMBIJA-MARVELE 149:84
PERLOJA-KORSIKA 149:86
ETIOPIJA-PRIENI 149:89
ULBROKA-KAMBIJA 149:9
MENORKA-ILMENIS 149:9
ZAMBIJA-MILVOKI 149:9
NAHODKA-SAFOLKA 149:91
TOBRUKA-TERMEZA 149:94
BALTIJA-SAKSIJA 149:95
PRIENI-SAKSIJA 115:0
SIDNEJA-NAHODKA 15:10
OREGONA-ALABAMA 15:10
ZAMBEZI-SERBIJA 15:100
NEAPOLE-DAMASKA 15:101
LUCERNA-RIMINI 115:103
SILMALA-LATGALE 15:108
TOBRUKA-TOTNEMA 15:113
VATERLO-BATUMI 115:119
AMERIKA-VIDUKLE 15:121
MEKSIKA-KVEBEKA 15:122
ILMENIS-VILGALE 15:125
SALONIKI-TAHITI 15:126
VECUMI-ZAMBIJA 115:129
KURZEME-GDANSKA 15:131
MORONI-BRUKLINA 15:133
SILMALA-RANGUNA 15:134
MILVOKI-TAHITI 115:134
KAPZEME-GORKIJA 15:136
ILMENIS-KAJENNA 15:137
LAPZEME-HARTUMA 15:144
MARVELE-SUDETI 115:145
ABADANA-PASVALE 15:148
PASVALE-ARKTIKA 15:149
VATERLO-OLBERI 115:15
MAKENZI-ANGLIJA 15:17
OLBERI-TAIZEME 115:17
VANAGI-ULBROKA 115:18
DAMASKA-MAJORKA 15:2
KAMAJI-GDANSKA 115:21
TOBRUKA-LIVORNA 15:21
LUCERNA-LATGALE 15:22
MORONI-KAZBEKS 115:22
DEMOINA-VATERLO 15:23
MAJORI-PLOVDIVA 15:23
ISIKULS-PALERMO 15:24
ISIKULS-ARKTIKA 15:25
ZAMBIJA-VIDZEME 15:26
UZBEKIJA-RIMINI 15:26
DEMOINA-SALVANA 15:3
MIRNIJA-TAHITI 115:3
BRATSKA-KANTONA 15:31
LATGALE-SERBIJA 15:34
INDRAJI-PAKROJA 15:37
KVEBEKA-KURZEME 15:40
BRUNEJA-ORINOKO 15:42
SERBIJA-KAZBEKS 15:42
RESIFI-OREGONA 115:44
SAIGONA-ARTJOMA 15:44
TALLINA-LAPZEME 15:45
SILMALA-JANDZI 115:45
UDMRTIJA-SUHUMI 15:45
BATUMI-ARMAVIRA 15:48
RANGUNA-KAJENNA 15:50
POCIEMS-VATERLO 15:52
ALABAMA-POLOCKA 15:54
ASALNI-ZAMBEZI 115:55
ARIZONA-RIMINI 115:55
BRISELE-DUBLINA 15:56
KAJENNA-BRUNEJA 15:58
GVINEJA-HARBINA 15:59
DUBLINA-HUDZONA 15:60
ANGLIJA-POCIEMS 15:60
PAKROJA-LAPZEME 15:60
ULBROKA-TAHITI 115:65
HARTUMA-BROMLI 115:66
BOSTONA-OREGONA 15:67
INDRAJI-TOTNEMA 15:69
PAROGLE-KAPZEME 15:7
ROSTOKA-KANTONA 15:7
CEILONA-BIKINI 115:71
ZAMBIJA-TAIZEME 15:72
GAMBIJA-SEIRIJI 15:72
SALVANA-ORINOKO 15:74
JANDZI-AIZVOLGA 15:75
ANGLIJA-SKOTIJA 15:75
KORSIKA-KAMBIJA 15:76
SAIGONA-HARBINA 15:76
CEILONA-VATERLO 15:77
SUHUMI-DUBLINA 115:78
KORSIKA-MEKSIKA 15:80
