300
BANDARSERIBEGAVA-AIZKARPATI 89:123
MANAUSA-KEMEROVA 6:140
BEBRUSI-KIROVSKA 140:6
MELNUPE-VADAKSTE 140:6
MASTIS-VENTSPILS 6:142
BENDERI-BORNMUTA 145:6
DENVERA-KEMEROVA 6:145
MANAGVA-VADAKSTE 6:147
ENGELSA-HAMBURGA 6:148
BOSFORS-ESENTUKI 148:6
HONOLULU-DENVERA 6:148
KAVARSKA-LINKUVA 149:6
DUBULTI-HONOLULU 15:6
PEIPUSS-SIRDARJA 6:15
SOVETSKA-IZMAIRA 6:15
ALATAU-VALENSIJA 6:150
TUKUMS-BELOSTOKA 150:6
MINESOTA-HOPJORA 17:6
DENVERA-MINESOTA 6:17
VAGADUGU-VAIDAVA 22:6
KAVARSKA-KORDOVA 25:6
MELBURNA-KUTAISI 27:6
HOPJORA-ALEKSOTA 6:28
DELTUVA-JAKUTSKA 6:30
NIAGARA-LABANOVA 6:31
STAMBULA-RINGUVA 31:6
CIECERE-VADAKSTE 31:6
KUNCEVA-SIESARTE 6:34
HONIARA-EVERESTS 36:6
MALNAVA-MELBURNA 6:36
ALAUKSTS-LECKAVA 37:6
JAKUTSKA-MAIKOPA 6:37
VEZUVS-BREDFORDA 6:37
SKIEMONE-SASNAVA 40:6
BARTUVA-HAMBURGA 6:41
SOVETSKA-CIECERE 6:41
KIROVSKA-KALKUTA 41:6
GURJEVA-HOLIVUDA 6:42
PALEMONA-UTREHTA 46:6
EVERESTS-HARKOVA 47:6
KOVROVA-LISABONA 6:47
KRAKOVA-NEBRASKA 6:47
MALJORKA-SALANTA 48:6
HONOLULU-KORDOVA 50:6
KIROVSKA-TAIMIRA 6:51
UTREHTA-SARAGOSA 6:51
DORSETA-PALEMONA 6:52
KANDAVA-BORNMUTA 6:52
VAIVARI-ALAUKSTS 54:6
MEMFISA-DENKERKA 6:55
HOLIVUDA-MACESTA 6:56
RUSTAVI-ALEKSOTA 6:57
DUBULTI-ATABASKA 6:58
EVERESTS-NIAGARA 6:58
HAMBURGA-KAUNATA 59:6
MEMFISA-RIODEORO 6:62
KANNAS-DORTMUNDE 64:6
HAMBURGA-AIZPUTE 65:6
BARNAULA-MADEIRA 6:65
MIASURA-KAVARSKA 65:6
LABANOVA-HARKOVA 68:6
TORONTO-MELBURNA 6:7
KINROSA-BALATONS 6:71
MELBURNA-KAUNATA 73:6
OLIMPS-VENTSPILS 6:80
HAMILTONA-MASTIS 6:80
JAKUTSKA-DORSETA 82:6
SOMERSETA-KANNAS 6:85
LINKUVA-SIESARTE 6:86
DUBULTI-OKSFORDA 6:86
KANDAVA-SARANSKA 6:88
KORDOVA-GABORONE 6:89
TORONTO-AMUDARJA 6:9
TAMBOVA-OKSFORDA 6:9
VAIGUVA-SANPAULU 6:90
KALKUTA-STAMBULA 91:6
ANGARSKA-DENVERA 6:92
LABANOVA-UTREHTA 94:6
LUGANSKA-BENDERI 6:95
SARANSKA-MALNAVA 95:6
TARENTO-VAGADUGU 97:6
LAUTERE-VECSAULE 100:60
KARAKUMS-KANZASA 60:100
PEREKOPS-OSTRAVA 104:60
BENDERI-KRAKATAU 105:60
VARDURA-RIODEORO 60:106
LUGANSKA-MACESTA 108:60
VAIGUVA-KAVARSKA 60:109
SIESARTE-HOPJORA 60:117
PRIEKULE-TRIESTE 60:118
SINTAUTI-TAUNUSA 60:119
VECSAULE-SALANTA 60:121
MELARS-MENHETENA 122:60
HONDURASA-ALTAJS 123:60
KOVROVA-INSBURGA 60:125
HONIARA-HOLIVUDA 130:60
ALEKSOTA-KUZBASS 130:60
PALEMONA-SASEKSA 131:60
GABORONE-TEKSASA 134:60
KANBERA-MINESOTA 60:136
VAIGUVA-LABANOVA 60:137
PANEMUNE-VAIGUVA 138:60
JELGAVA-KIROVSKA 60:141
AIZPUTE-BARNAULA 141:60
BRAZAVILA-PAMIRS 60:143
KRAKATAU-JELGAVA 144:60
BEBRUSI-DINKERSA 60:146
MIASURA-KEMEROVA 60:147
HAMBURGA-TAMPERE 60:150
EVERESTS-ELBRUSS 60:150
VORKUTA-GLAZGOVA 60:150
MERGUPE-ALEKSOTA 60:61
SIRDARJA-TAMBOVA 65:60
DENKERKA-OSTRAVA 69:60
OSTRAVA-BELFASTA 60:69
BARTUVA-KAVARSKA 60:69
SENTLUISA-NUKUSU 60:70
KZILORDA-KUNCEVA 72:60
PEREKOPS-BEBRUSI 72:60
RIETAVA-SANPAULU 60:76
VEZUVS-FOLKSTONA 78:60
KATVARI-VECSAULE 79:60
STAMBULA-LINKUVA 80:60
KANBERA-INSBURGA 81:60
MONROVIJA-ELTONS 60:83
MALNAVA-INSBURGA 60:83
UTREHTA-ZLATOUSA 85:60
NIAGARA-MALJORKA 85:60
AVINJONA-LINKUVA 86:60
TAURUPE-VECSAULE 88:60
LAUKUVA-SANPAULU 60:89
MALNAVA-KAVARSKA 60:89
SIRDARJA-KUNCEVA 89:60
KORDOVA-GLAZGOVA 60:95
HOLIVUDA-NIAGARA 60:96
PANEMUNE-VARDURA 60:96
BORNMUTA-MAIKOPA 60:96
DENKERKA-VAIVARI 60:96
KUTAISI-REINJORA 60:96
PIEDRUJA-OLSTERA 60:97
VEZUVS-BRAZAVILA 100:61
ELTONS-AUGSBURGA 103:61
BALATONS-TAMBOVA 103:61
KEMEROVA-DAUGAVA 103:61
HAMBURGA-SASEKSA 104:61
TARENTO-JAKUTSKA 61:106
MACESTA-JAKUTSKA 61:106
KAUNATA-BORNMUTA 106:61
BORNMUTA-TAMPERE 61:108
ZVIEDRIJA-VEZUVS 108:61
HONOLULU-HONIARA 61:111
SANPAULU-ROSTOVA 113:61
ESENTUKI-VAINUTA 61:116
REINJORA-DORSETA 118:61
PELTES-SOMERSETA 119:61
ATLANTA-NEBRASKA 61:122
LAUDERI-BORNMUTA 122:61
MALJORKA-ENGELSA 123:61
SANPAULU-BIZERTA 61:123
MALNAVA-DINKERSA 61:127
TOLJATI-SIRDARJA 61:128
EVERESTS-MADEIRA 61:128
KONAKRI-KEMEROVA 61:130
VAINUTA-KZILORDA 61:131
TAIMIRA-IRKUTSKA 131:61
RAISKUMS-GURJEVA 133:61
PEIPUSS-PIEDRUJA 134:61
KANDAVA-PALEMONA 61:135
VINDHUKA-PLIMUTA 61:137
BALATONS-AIZPUTE 137:61
DEMBAVA-SARAGOSA 61:139
ELBRUSS-MALJORKA 61:139
ROSTOVA-PIEDRUJA 61:140
ANADIRA-SANPAULU 140:61
ENGELSA-MINESOTA 61:140
MERGUPE-IRKUTSKA 143:61
TAUNUSA-BALATONS 61:144
TAMBOVA-GLAZGOVA 61:144
TORONTO-NEBRASKA 61:144
ALATAU-KALABRIJA 61:147
OKSFORDA-HARKOVA 147:61
SIESARTE-RINGUVA 147:61
RIODEORO-HARKOVA 148:61
HAMBURGA-KINROSA 148:61
BEBRUSI-BRJANSKA 63:61
KINGSTONA-VEZUVS 61:68
KUMPOTE-VAGADUGU 69:61
KAHOVSKA-LAPLATA 69:61
DONBASS-AVINJONA 61:69
KONAKRI-ANGARSKA 72:61
LUGANSKA-MASKAVA 73:61
RINGUVA-HOLIVUDA 61:73
SANHOSE-LISABONA 61:80
DENKERKA-RUSTAVI 83:61
BRAZAVILA-KAMPIS 61:87
DENKERKA-ARARATS 90:61
MELARS-FOLRIVERA 93:61
LIBREVILA-SEVANS 61:93
KAHOVSKA-VAINUTA 96:61
NEBRASKA-BEIRUTA 99:61
INSBURGA-KUZBASS 101:62
NEBRASKA-LIELUPE 62:106
VAGADUGU-KUPRAVA 107:62
JURBARKA-IVANOVA 107:62
BORNMUTA-DORSETA 62:108
IRKUTSKA-OSTRAVA 110:62
LABANOVA-LAUKUVA 110:62
SOVETSKA-MEMFISA 62:110
MASTIS-MANHATANA 110:62
VINDHUKA-KALKUTA 62:110
KONAKRI-AMUDARJA 111:62
MADRASA-LABANOVA 62:114
GABORONE-TBILISI 115:62
ANGARSKA-ATLANTA 115:62
ESENTUKI-LECKAVA 117:62
KUTAISI-VINDHUKA 118:62
SIESARTE-TOLJATI 119:62
LISABONA-LIETUVA 119:62
MINESOTA-KORDOVA 119:62
MANAGVA-ESENTUKI 62:121
TAUNUSA-JURBARKA 62:122
REINJORA-KANBERA 126:62
MACESTA-IRKUTSKA 62:126
LAUDERI-OKSFORDA 62:127
STAMBULA-BIZERTA 62:127
LAUDERI-USUMBURA 130:62
EDINBURGA-VENERS 62:135
LAPLATA-ZLATOUSA 135:62
MORICSALA-INESIS 62:136
JURBARKA-KANZASA 138:62
TAUNUSA-SOVETSKA 138:62
OKINAVA-DINKERSA 62:139
VAGADUGU-KUVEITA 62:140
BENDERI-INSBRUKA 140:62
SANPAULU-BENDERI 62:140
ALEKSOTA-TAMBOVA 140:62
LINKUVA-BORNMUTA 62:141
BRAZAVILA-SALDUS 62:142
BALATONS-JELGAVA 143:62
GABORONE-BEBRUSI 143:62
CIECERE-DENKERKA 145:62
PIEDRUJA-KORDOVA 147:62
HONOLULU-VAINUTA 62:148
BORNMUTA-UTREHTA 62:149
KUZBASS-JAKUTSKA 62:149
JAKUTSKA-ELBRUSS 149:62
PRIEKULE-VARDURA 62:150
TOLJATI-JAKUTSKA 62:64
SIRDARJA-IZMAIRA 62:64
RIODEORO-LAUDERI 66:62
HOLIVUDA-VAIVARI 62:68
NEBRASKA-DUBULTI 71:62
MADRASA-ALAUKSTS 71:62
EDINBURGA-PELTES 62:72
MIASURA-VINDHUKA 74:62
VENTSPILS-INESIS 75:62
DINKERSA-JELGAVA 76:62
USUMBURA-TAIMIRA 62:77
VINDHUKA-BIZERTA 62:83
DENKERKA-GURJEVA 85:62
SASEKSA-LISABONA 62:85
BARNAULA-SUMATRA 62:86
INSBRUKA-LINKUVA 87:62
AVINJONA-RIETAVA 87:62
VERAKRUSA-ALATAU 92:62
LUGANSKA-UTREHTA 93:62
SOVETSKA-LIETUVA 95:62
KUTAISI-HOLIVUDA 97:62
FLANDRIJA-SALDUS 101:63
AMUDARJA-UTREHTA 103:63
SUMATRA-JAKUTSKA 107:63
JAKUTSKA-MANAUSA 63:107
MOLDOVA-KZILORDA 63:107
BELGORODA-PAMIRS 115:63
KRAKATAU-VALLETA 63:116
RAISKUMS-TARENTO 63:116
LABANOVA-SUMATRA 118:63
USUMBURA-KUVEITA 63:119
IZMAIRA-OKSFORDA 125:63
HAMBURGA-KUNCEVA 126:63
MELARS-PARAGVAJA 129:63
KZILORDA-LAUTERE 130:63
PEREKOPS-TOLJATI 131:63
VORKUTA-SIESARTE 63:132
LECKAVA-INSBURGA 63:134
TOLJATI-INSBURGA 63:134
MELARS-FEODOSIJA 136:63
KALABRIJA-VEZUVS 136:63
SIRDARJA-TAUNUSA 136:63
TOLJATI-BRJANSKA 63:138
NUKUSU-VIKTORIJA 63:140
MANAUSA-REINJORA 63:141
PITSBURGA-MELARS 63:141
USUMBURA-KANBERA 63:145
MOLDOVA-SARAGOSA 63:147
VARDURA-MALJORKA 147:63
STAMBULA-VAINUTA 63:148
MALJORKA-DELTUVA 148:63
MALNAVA-SKIEMONE 63:149
OSTRAVA-KARAKUMS 63:149
JAKUTSKA-TBILISI 63:150
TRIESTE-PANEMUNE 65:63
NIAGARA-KARAKUMS 67:63
LAUTERE-HONOLULU 67:63
GLAZGOVA-ARARATS 69:63
PEREKOPS-KOVROVA 72:63
OKSFORDA-PRIPETE 75:63
MINESOTA-BENDERI 75:63
KANBERA-MALJORKA 76:63
DAUGAVA-SANPAULU 63:78
SANPAULU-ENGELSA 63:80
KONAKRI-BRJANSKA 82:63
OSTRAVA-PRIEKULE 63:84
DENVERA-KIROVSKA 85:63
BALATONS-MADRASA 87:63
BARTUVA-RAISKUMS 63:88
SINTAUTI-MALNAVA 90:63
VADAKSTE-POLTAVA 96:63
DINKERSA-TARENTO 96:63
VINDHUKA-POLTAVA 97:63
USUMBURA-MALNAVA 98:63
LINKUVA-PRIEKULE 64:102
TAUNUSA-GLAZGOVA 64:102
TIRASPOLE-ELTONS 104:64
INSBURGA-KANGARI 105:64
KANBERA-ALAUKSTS 105:64
EKVADORA-PLIMUTA 105:64
KAMPIS-AUGSBURGA 106:64
KUNCEVA-LISABONA 64:107
PORTOVANA-NUKUSU 64:110
MALJORKA-TAIMIRA 64:110
MINESOTA-KANZASA 112:64
KORDOVA-KEMEROVA 64:113
INSBRUKA-DELTUVA 116:64
OLSTERA-MALJORKA 116:64
TOSMARE-SKIEMONE 64:120
AIZPUTE-VECSAULE 122:64
KARAKUMS-KANBERA 64:125
LAPLATA-KRAKATAU 126:64
KAHOVSKA-UTREHTA 127:64
DONBASS-ALEKSOTA 64:127
VECSAULE-MELNUPE 64:127
PIEDRUJA-VAINUTA 64:128
ANGARSKA-KUTAISI 64:128
EKVADORA-BEBRUSI 128:64
PALEMONA-LAUDERI 130:64
DAUGAVA-EKVADORA 64:132
ELBRUSS-MINESOTA 64:133
EKVADORA-KANZASA 134:64
TOLJATI-MELBURNA 64:136
KUVEITA-RAISKUMS 136:64
MELBURNA-DELTUVA 137:64
TAIMIRA-BALATONS 64:138
PRIEKULE-BENDERI 64:142
SOVETSKA-SALANTA 142:64
HAMBURGA-MANAGVA 143:64
SASNAVA-KEMEROVA 64:143
HONIARA-SOVETSKA 145:64
ENGELSA-IRKUTSKA 146:64
KALVARIJA-INESIS 146:64
KARAKUMS-MOLDOVA 146:64
KIROVSKA-KAUNATA 147:64
NIAGARA-MELBURNA 148:64
KORDOVA-VAGADUGU 64:149
MACESTA-KIROVSKA 64:150
DAUGAVA-DINKERSA 64:150
ATABASKA-OLSTERA 64:65
MASTIS-ZVIEDRIJA 64:65
PEREKOPS-MALNAVA 66:64
PANEMUNE-ARARATS 64:68
MANAGVA-ALAUKSTS 64:70
PANEMUNE-ROSTOVA 71:64
SEVANS-SENTLUISA 73:64
JAKUTSKA-BIZERTA 74:64
MIASURA-INSBRUKA 76:64
HOPJORA-USUMBURA 77:64
ANADIRA-OKSFORDA 77:64
JURBARKA-PEIPUSS 77:64
LABANOVA-DELTUVA 78:64
TOSMARE-PIEDRUJA 78:64
UTREHTA-PEREKOPS 64:79
VINDHUKA-IZMAIRA 64:80
TOLJATI-KIROVSKA 64:83
MAIKOPA-KZILORDA 83:64
KUTAISI-LUGANSKA 84:64
HANNOVERE-NUKUSU 64:84
CIECERE-KZILORDA 64:87
PRIPETE-PRIEKULE 87:64
MENHETENA-ALATAU 92:64
VADAKSTE-LINKUVA 92:64
VALENSIJA-INESIS 64:93
MELBURNA-HARKOVA 94:64
GURJEVA-SARANSKA 64:94
RAISKUMS-RINGUVA 95:64
ATLANTA-VADAKSTE 64:95
MASKAVA-INSBURGA 64:96
MEMFISA-SARANSKA 100:65
PALEMONA-OLSTERA 100:65
LISABONA-MADEIRA 103:65
OKSFORDA-MOLDOVA 103:65
CIECERE-LABANOVA 65:104
TORONTO-GABORONE 65:108
MANAGVA-SARANSKA 65:108
JURBARKA-MOLDOVA 109:65
HAMBURGA-MASKAVA 109:65
IVANOVA-IRKUTSKA 65:110
SIRDARJA-MOLDOVA 110:65
SIESARTE-TARENTO 110:65
DAUGAVA-HAMBURGA 65:111
KANZASA-KAVARSKA 111:65
DENKERKA-HOPJORA 65:113
ALTAJS-KRUSTPILS 65:113
SINTAUTI-LAPLATA 65:117
DONBASS-KEMEROVA 65:118
INSBRUKA-LAPLATA 65:118
INSBRUKA-MELNUPE 65:119
EIFRATA-PRIEKULE 121:65
KALKUTA-ALAUKSTS 65:121
PANEMUNE-TARENTO 65:121
EDINBURGA-ELTONS 65:122
KOSTARIKA-ELTONS 122:65
TAURUPE-AVINJONA 65:124
GLAZGOVA-KAUNATA 124:65
ESENTUKI-SALANTA 65:124
SANPAULU-KORDOVA 125:65
JAKUTSKA-TAURUPE 65:125
VADAKSTE-IZMAIRA 65:125
VINDHUKA-TARENTO 65:126
BIZERTA-PIEDRUJA 127:65
OKSFORDA-TRIESTE 130:65
AMUDARJA-KUNCEVA 132:65
PALEMONA-LIETUVA 134:65
PORTORIKO-MASTIS 135:65
INSBRUKA-PRIPETE 65:136
TAURUPE-VINDHUKA 137:65
TAMPERE-KAHOVSKA 138:65
VADAKSTE-KANBERA 65:138
TBILISI-INSBRUKA 140:65
JURBARKA-AIZPUTE 141:65
PRIEKULE-RINGUVA 141:65
KRAKATAU-NIAGARA 65:143
TOSMARE-EKVADORA 65:143
ELTONS-TAGANROGA 65:147
REINJORA-MANAGVA 149:65
KUNCEVA-BALATONS 65:66
VAIVARI-SIESARTE 66:65
BOSFORS-MINESOTA 65:69
VADAKSTE-KATVARI 65:69
AMUDARJA-MADRASA 70:65
ALAUKSTS-DEMBAVA 74:65
HOLIVUDA-RIETAVA 76:65
LAUTERE-INSBURGA 76:65
OLSTERA-GABORONE 65:78
UTREHTA-STAMBULA 81:65
KUVEITA-BARNAULA 82:65
KUVEITA-ALEKSOTA 65:82
SANPAULU-DUBULTI 65:83
DORTMUNDA-KANNAS 65:84
HONDURASA-SALDUS 85:65
STAMBULA-MANAUSA 65:86
VAINUTA-SARAGOSA 65:86
MELNUPE-AMUDARJA 87:65
ARARATS-EVERESTS 65:87
KOVROVA-PALEMONA 65:87
KAHOVSKA-MACESTA 88:65
HONOLULU-SUMATRA 65:88
PIEDRUJA-TBILISI 65:89
PRIPETE-BORNMUTA 89:65
MAPUTU-BRAZAVILA 92:65
HAMBURGA-BOSFORS 93:65
ANGARSKA-BARTUVA 95:65
SARAGOSA-KUNCEVA 97:65
NIAGARA-PIEDRUJA 98:65
ATABASKA-DENVERA 65:98
LISABONA-MADRASA 99:65
LAUKUVA-GABORONE 65:99
MERGUPE-MELBURNA 100:66
MADRASA-VINDHUKA 103:66
LISABONA-TOSMARE 105:66
ORENBURGA-ATLASS 66:106
VAIGUVA-KIROVSKA 66:107
MACESTA-AVINJONA 66:108
HOPJORA-BRJANSKA 108:66
PEIPUSS-VADAKSTE 109:66
SIRDARJA-MADRASA 110:66
DORTMUNDE-MAPUTU 66:110
OLSTERA-LABANOVA 66:111
SIRDARJA-BENDERI 66:112
KAVARSKA-TARENTO 112:66
KRAKATAU-DONBASS 66:112
KOVROVA-JAKUTSKA 66:113
VAINUTA-SIRDARJA 66:115
SOMERSETA-MELARS 66:118
IVANOVA-SINTAUTI 66:119
VAIDAVA-REINJORA 66:120
SARANSKA-DONBASS 120:66
HONIARA-PANEMUNE 121:66
OKINAVA-MINESOTA 66:122
TAIMIRA-GABORONE 66:123
BRAZAVILA-OLIMPS 66:127
KIROVSKA-AIZPUTE 127:66
LIBREVILA-PELTES 66:130
MASTIS-FLANDRIJA 66:133
NOVGORODA-MASTIS 134:66
TOLJATI-KEMEROVA 66:134
KANNAS-MORICSALA 135:66
SALDUS-TERNOPOLE 66:135
JELGAVA-AMUDARJA 66:138
SALASPILS-ALATAU 138:66
DELTUVA-SOVETSKA 66:139
DUBULTI-DENKERKA 66:140
TORONTO-LISABONA 66:142
KANDAVA-SOVETSKA 66:143
BRJANSKA-PRIPETE 144:66
BORNMUTA-LAUKUVA 150:66
ALTAJS-KALABRIJA 66:70
LIETUVA-BARNAULA 66:70
ESENTUKI-BARTUVA 72:66
EKVADORA-KAUNATA 72:66
TAMPERE-MELBURNA 73:66
DINKERSA-TAURUPE 66:76
ATLANTA-RIODEORO 66:76
VARDURA-ALEKSOTA 66:77
HOPJORA-AVINJONA 66:78
POLTAVA-AMUDARJA 66:78
BIZERTA-KAVARSKA 66:81
EVERESTS-MAIKOPA 66:83
ELBRUSS-SARANSKA 66:83
IRKUTSKA-SASNAVA 86:66
MANHATANA-MAPUTU 86:66
BEBRUSI-KAVARSKA 87:66
GLAZGOVA-RINGUVA 89:66
EVERESTS-VARDURA 66:92
MAPUTU-KALVARIJA 66:95
BEBRUSI-DENKERKA 66:95
PORTORIKO-SALDUS 96:66
HARKOVA-GLAZGOVA 66:98
SUMATRA-BORNMUTA 99:66
INSBURGA-MIASURA 67:100
BELFASTA-HARKOVA 103:67
PALEMONA-DELTUVA 103:67
LAPLATA-KAVARSKA 67:103
RAISKUMS-LAUKUVA 104:67
VENTSPILS-ATLASS 105:67
ELTONS-PARAGVAJA 105:67
OKINAVA-BELFASTA 67:106
SINTAUTI-SASNAVA 109:67
BIZERTA-VECSAULE 109:67
LUGANSKA-PLIMUTA 110:67
INSBRUKA-TAMBOVA 116:67
DONBASS-BORNMUTA 117:67
CIECERE-NEBRASKA 117:67
OKSFORDA-BIZERTA 119:67
IZMAIRA-ZLATOUSA 120:67
SASNAVA-BARNAULA 67:121
TAMPERE-VINDHUKA 126:67
OLIMPS-SINSITIJA 126:67
DEMBAVA-SINTAUTI 67:128
PITSBURGA-KAMPIS 67:130
NIAGARA-BALATONS 67:131
MANAUSA-BRJANSKA 133:67
HAMBURGA-KALKUTA 134:67
BREDFORDA-MAPUTU 139:67
KRAKATAU-SUMATRA 67:143
LINKUVA-KIROVSKA 67:144
KAMPIS-SOMERSETA 146:67
VAIGUVA-AVINJONA 67:148
DINKERSA-KARPATI 69:67
MELARS-KINGSTONA 71:67
PIEDRUJA-KINROSA 67:71
ROSTOVA-INSBRUKA 67:72
DONBASS-SANPAULU 75:67
KRAKOVA-AVINJONA 67:76
PIEDRUJA-DEMBAVA 77:67
LUGANSKA-KINROSA 67:78
MERGUPE-VADAKSTE 79:67
TEKSASA-OKSFORDA 67:80
PANEMUNE-TAMBOVA 84:67
SALDUS-BREDFORDA 67:85
KUPRAVA-VINDHUKA 67:85
ELBRUSS-RAISKUMS 91:67
TERNOPOLE-TUKUMS 93:67
KINROSA-KEMEROVA 67:94
LUGANSKA-RIETAVA 94:67
IRKUTSKA-CIECERE 67:94
REDRIVERA-INESIS 67:94
RIETAVA-SIRDARJA 67:99
LISABONA-UTREHTA 99:67
ELBRUSS-DENKERKA 67:99
BREDFORDA-ATLASS 101:68
PEREKOPS-KAUNATA 102:68
ENGELSA-JAKUTSKA 105:68
PRIEKULE-LIELUPE 68:107
EDINBURGA-MASTIS 68:108
GABORONE-KANDAVA 111:68
KULAUTUVA-OLIMPS 68:113
ZLATOUSA-LAUKUVA 115:68
KORDOVA-LISABONA 68:116
PIEDRUJA-VARDURA 68:119
LAUKUVA-SIESARTE 68:121
PIEDRUJA-IVANOVA 122:68
SARAGOSA-TORONTO 122:68
MACESTA-SARANSKA 68:122
ARARATS-MINESOTA 68:123
STAMBULA-LAUTERE 68:127
PALEMONA-HOPJORA 127:68
MOLDOVA-GLAZGOVA 68:127
VINDHUKA-MERGUPE 68:130
TERNOPOLE-PAMIRS 131:68
VADAKSTE-HARKOVA 132:68
VAGADUGU-DELTUVA 133:68
SASNAVA-GABORONE 68:133
BARTUVA-ALEKSOTA 68:134
SARAGOSA-LAUDERI 134:68
TORONTO-SKIEMONE 68:137
TEKSASA-LISABONA 68:139
VENERS-KULAUTUVA 140:68
MOLDOVA-KRAKATAU 68:141
MIASURA-EVERESTS 141:68
BEIRUTA-PIEDRUJA 142:68
KANZASA-VINDHUKA 144:68
STAMBULA-KARPATI 68:145
KANGARI-KAVARSKA 145:68
VENERS-KALVARIJA 68:145
KIROVSKA-SASNAVA 145:68
DINKERSA-MADEIRA 68:146
EKVADORA-TAMBOVA 147:68
KZILORDA-NIAGARA 68:148
KRAKATAU-OKINAVA 150:68
VECSAULE-TRIESTE 68:71
ALEKSOTA-DUBULTI 71:68
EKVADORA-TRIESTE 71:68
DELTUVA-ATABASKA 68:73
MELNUPE-SOVETSKA 74:68
RAISKUMS-AIZPUTE 68:74
MEMFISA-RAISKUMS 75:68
MADRASA-ATABASKA 77:68
ESENTUKI-KRAKOVA 78:68
HONOLULU-DEMBAVA 83:68
VADAKSTE-KARPATI 83:68
LIBREVILA-OLIMPS 68:85
DAUGAVA-DENKERKA 68:85
EIFRATA-LUGANSKA 68:85
PLIMUTA-USUMBURA 88:68
ERFURTE-VAGADUGU 90:68
VALENSIJA-ATLASS 68:95
DENKERKA-ERFURTE 96:68
SIESARTE-LAPLATA 97:68
LIZUMS-SENTLUISA 97:68
LIELUPE-ZLATOUSA 97:68
DINKERSA-TAMBOVA 99:68
PITSBURGA-MASTIS 69:101
MELARS-SENTLUISA 104:69
HAMBURGA-UTREHTA 106:69
LECKAVA-AMUDARJA 69:106
NIAGARA-KAHOVSKA 107:69
MERGUPE-SARANSKA 107:69
ALEKSOTA-MAIKOPA 107:69
CIECERE-SIRDARJA 108:69
DORSETA-ZLATOUSA 111:69
LAUTERE-KEMEROVA 69:111
BELOSTOKA-PAMIRS 69:113
RUSTAVI-SARAGOSA 69:114
STAMBULA-KUPRAVA 115:69
BRJANSKA-TARENTO 115:69
ALTAJS-FOLRIVERA 116:69
DONBASS-ZLATOUSA 116:69
VORKUTA-RAISKUMS 117:69
LINKUVA-KEMEROVA 69:119
SASEKSA-JAKUTSKA 119:69
LIETUVA-VADAKSTE 69:122
AVINJONA-BEBRUSI 123:69
SIRDARJA-BEBRUSI 126:69
RINGUVA-KRAKATAU 69:126
SANHOSE-PIEDRUJA 127:69
LECKAVA-REINJORA 69:129
PRIEKULE-LECKAVA 131:69
HONOLULU-MASKAVA 131:69
PRIEKULE-KUZBASS 69:134
PRIEKULE-TARENTO 69:134
ZLATOUSA-KUMPOTE 69:135
LIETUVA-SANPAULU 69:136
MALJORKA-CIECERE 69:137
LISABONA-VARDURA 139:69
DUBULTI-SIRDARJA 69:144
INSBURGA-KUMPOTE 146:69
RAISKUMS-MADRASA 69:147
PANEMUNE-VAINUTA 69:148
OKSFORDA-BEBRUSI 150:69
PORTOVANA-MAPUTU 69:150
BORNMUTA-SALANTA 69:70
KATVARI-ZLATOUSA 71:69
SANPAULU-OSTRAVA 71:69
PRIEKULE-LAUTERE 69:71
KUMPOTE-KAHOVSKA 69:72
KATVARI-KAVARSKA 72:69
HAMILTONA-SEVANS 69:73
ESENTUKI-LAUTERE 69:73
KUVEITA-LABANOVA 69:75
VADAKSTE-KANZASA 69:77
SIESARTE-VARDURA 69:77
TERNOPOLE-VEZUVS 77:69
VECSAULE-TOLJATI 69:80
JELGAVA-IRKUTSKA 69:81
PIEDRUJA-DELTUVA 84:69
HOPJORA-PEREKOPS 69:85
MALNAVA-DENKERKA 69:85
VALLETA-ANGARSKA 69:86
KONAKRI-PIEDRUJA 87:69
INSBRUKA-EIFRATA 69:87
RUSTAVI-EVERESTS 69:88
KANDAVA-IRKUTSKA 69:94
SARANSKA-ARARATS 94:69
AMUDARJA-BEBRUSI 94:69
PELTES-KRUSTPILS 69:94
ORENBURGA-VEZUVS 69:96
ATABASKA-OSTRAVA 97:69
VALLETA-MALJORKA 69:97
DENKERKA-AIZPUTE 97:69
KATVARI-SKIEMONE 69:97
RIODEORO-OKINAVA 102:7
ELBRUSS-HONOLULU 102:7
KULAUTUVA-VEZUVS 7:102
VORKUTA-MELBURNA 7:102
TEKSASA-IRKUTSKA 102:7
SASEKSA-KARAKUMS 103:7
KRAKOVA-STAMBULA 7:103
RINGUVA-ZLATOUSA 7:105
MINESOTA-MERGUPE 106:7
MADRASA-DENKERKA 7:106
ANGARSKA-LECKAVA 107:7
MAPUTU-SKAGERAKS 7:107
DORSETA-LUGANSKA 7:109
BALATONS-TOLJATI 112:7
KZILORDA-SANHOSE 114:7
KANNAS-NOVGORODA 7:114
VECSAULE-MASKAVA 116:7
PELTES-HANNOVERE 118:7
SIESARTE-ENGELSA 121:7
LISABONA-MERGUPE 121:7
ELTONS-MORICSALA 123:7
KZILORDA-ROSTOVA 125:7
ANGARSKA-KUNCEVA 128:7
TBILISI-BELFASTA 128:7
TEKSASA-INSBRUKA 128:7
LABANOVA-KANBERA 129:7
PIEDRUJA-ANADIRA 7:13
PRIEKULE-PEIPUSS 7:133
PALEMONA-TAIMIRA 135:7
MALNAVA-ALEKSOTA 7:138
