300
DAIVANA-BALATONS 147:68
TAURUPE-HELSINKI 68:147
KARTENA-INSBURGA 148:68
KANGARI-GLAZGOVA 68:150
BALTIMORA-AIDAHO 70:68
TAIVANA-KORNVOLA 71:68
TURMANTA-HOPJORA 71:68
BILBAO-PORTSMUTA 68:72
ALEKSOTA-HAIFONA 68:74
MINESOTA-BENGAZI 68:75
TALLINA-AMUDARJA 76:68
KATMANDU-KANGARI 77:68
RANGUNA-RIODEORO 78:68
MINESOTA-SEVERNA 68:78
KRETINGA-EGLAINE 68:78
KAMPIS-VIKTORIJA 68:81
SLOCENE-PALEMONA 84:68
EKVADORA-VERDENA 68:84
FERMENTA-DUBLINA 68:86
BALATONS-MUKDENA 68:89
BALATONS-KAPZEME 68:93
LAUTERE-VALGUNDE 68:94
OKSFORDA-SALVANA 68:94
LOKARNA-BRISTOLE 95:68
USTRONE-ALEKSOTA 97:68
KZILORDA-SUMATRA 68:99
VESTENDE-PALERMO 69:100
HONKONGA-VERDENA 69:104
TAIMIRA-SIESARTE 104:69
PAMIRS-TERNOPOLE 69:104
BOSFORS-PALEMONA 69:104
SALVANA-MANITOBA 107:69
PUMPENI-KATMANDU 69:108
ZENTENE-OKLAHOMA 108:69
KZILORDA-USTRONE 69:110
BOSFORS-PEREKOPS 69:115
DEMOINA-INSBURGA 115:69
FLORENCE-KAPZEME 69:115
GLAZGOVA-DAIVANA 69:116
JANOPOLE-KAPZEME 69:116
REINJORA-UKRAINA 69:117
PALERMO-TURMANTA 117:69
SALASPILS-MASTIS 117:69
SALDUS-MARTINIKA 69:118
OKSFORDA-UKRAINA 69:118
PRETORIJA-VENERS 119:69
BENGAZI-LOTRINGA 119:69
LONDONA-FLORENCE 120:69
OKSFORDA-HOPJORA 69:120
SKIEMONE-TALLINA 69:121
LAUDERI-RIODEORO 69:121
HOPJORA-BANDUNGA 69:125
BRAITONA-KURZEME 69:129
BRISTOLE-PILZENE 69:132
TOLEDO-INVERNESA 69:132
ALTAJS-UGUNSZEME 69:132
CINCINATI-AIDAHO 134:69
LISABONA-TOSMARE 135:69
RANGUNA-KRETINGA 137:69
MARIANNAS-INESIS 139:69
TAIMIRA-STOMBOLI 69:141
MELBURNA-VETERNS 69:143
MALABO-KUSTANAJA 69:143
PALERMO-LITLROKA 144:69
TOSMARE-AVINJONA 69:147
ZENTENE-KORNVOLA 148:69
PILTENE-JITLANDE 69:149
CEILONA-STOMBOLI 150:69
KALTENE-REINJORA 71:69
VARDURA-JOKOHOMA 69:71
LAZDONA-HAMBURGA 74:69
KROIDONA-TAMPERE 76:69
ARIZONA-KORNVOLA 76:69
MONAKO-UGUNSZEME 69:78
BOSTONA-BRISTOLE 79:69
MANITOBA-BENDERI 81:69
VALGUNDE-LAUDERI 81:69
MAKENZI-BANGKOKA 84:69
STOKHOLMA-OLIMPS 85:69
KUNLUNS-REINJORA 86:69
CEILONA-LITLROKA 88:69
LOKARNA-GALIPOLE 89:69
HOPJORA-BRAITONA 69:89
LABANOVA-OLSTERA 90:69
PRETORIJA-MASTIS 90:69
KALABRIJA-SAPORO 69:91
BOSFORS-GALIPOLE 69:92
PALEMONA-HAVANNA 69:92
MUKDENA-JANOPOLE 94:69
TAIVANA-FLORENCE 95:69
DOTMUNDA-PLATONE 96:69
VAIVARI-VALGUNDE 69:96
OLIMPS-KUSTANAJA 69:97
TURMANTA-BOSFORS 10:7
OLIMPS-BREDFORDA 7:102
LOZANNA-TURMANTA 104:7
SKIEMONE-TAURUPE 105:7
MINESOTA-ABAKANA 7:111
JITLANDE-NANKINA 7:112
KAZDANGA-MERGUPE 114:7
REINJORA-POCIEMS 7:117
MAKENZI-RIODEORO 119:7
BOSFORS-VESTENDE 7:12
KUSTANAJA-INESIS 120:7
TOBAGO-MURMANSKA 7:121
SALVANA-MELBURNA 122:7
JURBARKA-SALVANA 7:122
ALEKSOTA-RANGUNA 7:122
KROIDONA-MERGUPE 124:7
PEDEDZE-TURMANTA 124:7
GLAZGOVA-LUCERNA 7:126
BERGENA-OKSFORDA 129:7
BOSFORS-DENKERKA 7:13
BOSFORS-BRAITONA 7:131
REINJORA-LAZDONA 7:131
HELSINKI-KANBERA 133:7
BABRUNGA-POCIEMS 7:134
CEILONA-HONKONGA 134:7
NIKOPOLE-LAUTERE 136:7
HELSINKI-KATVARI 137:7
LISABONA-PLATONE 7:137
REINJORA-BENGAZI 7:138
PORTONOVA-BORNEO 14:7
TOLEDO-PORTONOVA 7:143
KORNVOLA-TAMPERE 143:7
IZMAIRA-RADOPOLE 7:146
KROIDONA-MINHENE 7:146
JOKOHOMA-USTRONE 7:146
VENTSPILS-KAMPIS 149:7
ABAKANA-JANOPOLE 150:7
MINESOTA-HAVANNA 7:16
BELMANTA-DUBLINA 7:16
BANGKOKA-DAIVANA 7:17
KALTENE-MALJORKA 17:7
KZILORDA-BOSTONA 7:17
IZMAIRA-VALGUNDE 7:18
OREGONA-PALEMONA 19:7
TAIZEME-VALGUNDE 22:7
BORNEO-SALASPILS 28:7
DINKERSA-AMAZONE 7:30
OKSFORDA-HERSONA 7:33
RAUDONE-HONKONGA 34:7
SUMATRA-GLAZGOVA 7:35
JANOPOLE-HUDZONA 7:35
KURZEME-REINJORA 39:7
MAIKOPA-MINESOTA 7:43
MARIANNAS-OLIMPS 43:7
HARBINA-KATMANDU 43:7
JOKOHOMA-NIAGARA 46:7
SAMAVS-MARIANNAS 7:48
KALTENE-ALEKSOTA 49:7
MAIKOPA-RADOPOLE 7:50
OREGONA-DOTMUNDA 51:7
NIKOPOLE-VERDENA 7:55
BENGAZI-GOTLANDE 56:7
MAIKOPA-STOMBOLI 7:61
KURZEME-DENKERKA 64:7
BANGKOKA-TAIZEME 7:67
TOBAGO-TAGANROGA 67:7
KOSTROMA-VAIVARI 68:7
DENVERA-LOTRINGA 7:70
SEVERNA-HELSINKI 71:7
SUMATRA-GOTLANDE 7:73
HERSONA-JURBARKA 75:7
MURMANSKA-PAMIRS 76:7
SLOCENE-MALJORKA 78:7
HERSONA-GABORONE 82:7
HARBINA-BABRUNGA 83:7
MELBURNA-TOSMARE 7:83
SAMAVS-BALTEZERS 7:84
HELSINKI-PASIENA 7:85
INVERNESA-BORNEO 89:7
KATMANDU-MADEIRA 89:7
BREDFORDA-TOBAGO 7:9
BENGAZI-SARAGOSA 92:7
ZAMBEZI-PALEMONA 93:7
BORNHOLMA-PELTES 93:7
KARTENA-PALEMONA 96:7
NANKINA-HAMBURGA 99:7
KATVARI-HONKONGA 70:101
CINCINATI-OLIMPS 101:70
ARAGONA-HELSINKI 101:70
KEMEROVA-ZENTENE 70:102
HONDURASA-ALTAJS 104:70
ALUKSNE-BRAITONA 106:70
ABAKANA-AMUDARJA 106:70
BOSTONA-BABRUNGA 108:70
BRAITONA-MIASURA 112:70
KOSTROMA-HUDZONA 70:112
STOMBOLI-BENGAZI 70:114
SEVANS-MARTINIKA 70:115
MARIANNAS-SEVANS 117:70
NANKINA-BELMANTA 117:70
CINDAO-TERNOPOLE 117:70
FLORENCE-MERGUPE 117:70
FLORENCE-AMAZONE 118:70
OKLAHOMA-PEDEDZE 70:118
GULBENE-JANOPOLE 119:70
BRAITONA-KALTENE 70:121
NOVGORODA-MELARS 122:70
KUNLUNS-HAMBURGA 125:70
OLSTERA-BRISTOLE 70:125
HARBINA-PALEMONA 126:70
SIESARTE-SAIGONA 70:127
BOSTONA-KATMANDU 127:70
PALEMONA-TAURUPE 128:70
HELSINKI-RAUDONE 70:130
GOTLANDE-HUDZONA 70:131
REINJORA-OREGONA 70:131
MELBURNA-RAUDONE 70:131
SIRDARJA-UKRAINA 70:133
DUBLINA-NIKOPOLE 133:70
TAURUPE-JANOPOLE 70:134
SKIEMONE-CIECERE 137:70
KALVARIJA-MEHIKO 70:137
BANDUNGA-MAKENZI 70:137
HAVANNA-HONKONGA 137:70
TURMANTA-HUDZONA 70:138
KRETINGA-KALTENE 70:139
MINDANAO-KANBERA 143:70
ARIZONA-TURMANTA 144:70
SKIEMONE-DEMOINA 70:145
VEZUVS-MARTINIKA 70:146
TAIVANA-PEREKOPS 147:70
JANOPOLE-SAIGONA 70:150
VALGUNDE-KAJENNA 70:150
ANADIRA-LOTRINGA 70:71
OKSFORDA-LOZANNA 70:77
OLSTERA-MINESOTA 70:78
STOMBOLI-VARDURA 81:70
MANITOBA-HAIFONA 70:81
ELTONS-KALABRIJA 70:83
BOSTONA-SIESARTE 84:70
BANDUNGA-ZENTENE 70:85
LIELUPE-KAZDANGA 70:85
LIELUPE-JANOPOLE 70:85
BRAITONA-KANBERA 86:70
RIODEORO-HAIFONA 70:86
JOKOHOMA-KAPZEME 70:89
MADEIRA-AVINJONA 70:89
MEISENE-NIKOPOLE 89:70
MARTINIKA-AIDAHO 90:70
KANNAS-PORTSMUTA 70:91
MELNUPE-SKIEMONE 70:92
ARAGONA-BRISTOLE 95:70
MINDANAO-MAKENZI 70:97
STOKHOLMA-PAMIRS 98:70
LIELUPE-OKLAHOMA 70:99
KOSTROMA-LAUTERE 102:71
EGLAINE-MELBURNA 104:71
JITLANDE-KANTONA 71:104
OLIMPS-BELGORODA 71:105
DEMOINA-JITLANDE 107:71
KAZDANGA-DENVERA 109:71
MELNUPE-HONKONGA 71:110
AVINJONA-BALDONE 71:113
SAIGONA-BANGKOKA 114:71
LOTRINGA-ALUKSNE 71:114
PALERMO-HONKONGA 116:71
KATVARI-GABORONE 71:117
BANGKOKA-KAJENNA 71:123
CEILONA-KAZDANGA 124:71
MEISENE-SKIEMONE 128:71
EKVADORA-RAVENNA 71:129
KAJENNA-KATMANDU 132:71
MINESOTA-TOSMARE 137:71
OKLAHOMA-LAUDERI 139:71
HARBINA-DENKERKA 139:71
ZENTENE-GALIPOLE 139:71
HAIFONA-RADOPOLE 142:71
PEREKOPS-KATVARI 142:71
HONKONGA-LAUTERE 144:71
MONAKO-KOSTARIKA 149:71
VERAKRUSA-PELTES 150:71
PUMPENI-DOTMUNDA 71:150
BABRUNGA-MEISENE 71:72
VERMONTA-BENDERI 74:71
CIECERE-BABRUNGA 71:75
OKSFORDA-OREGONA 71:75
DOTMUNDA-PASIENA 71:75
BENDERI-MELBURNA 76:71
MURMANSKA-SALDUS 76:71
GALIPOLE-HAVANNA 71:77
KOSTROMA-MUKDENA 71:79
LIVORNA-MANITOBA 81:71
SKIEMONE-RAVENNA 71:83
SKIEMONE-PLATONE 71:87
PEREKOPS-HAVANNA 71:90
ALUKSNE-HONKONGA 91:71
KORNVOLA-DURBANA 71:91
PILTENE-BABRUNGA 91:71
JITLANDE-BERGENA 71:95
PORTORIKO-INESIS 98:71
VEZUVS-MARIANNAS 72:100
LISABONA-HOPJORA 104:72
LIELUPE-SARAGOSA 72:106
BRISTOLE-EGLAINE 72:106
GALIPOLE-LIELUPE 107:72
KROIDONA-KARTENA 72:108
ZAMBEZI-KZILORDA 112:72
SALASPILS-SAPORO 72:116
TAIVANA-GLAZGOVA 116:72
TAMPERE-BALATONS 72:116
HUDZONA-LOTRINGA 118:72
AVINJONA-USTRONE 72:119
PASIENA-GLAZGOVA 120:72
ABADANA-KEMEROVA 121:72
JURBARKA-ANADIRA 72:122
LOZANNA-MINESOTA 123:72
SEVERNA-KATMANDU 124:72
VARDURA-SORBONNA 72:124
KAPZEME-DENKERKA 125:72
BREDFORDA-BAMAKO 72:133
MINDANAO-MELNUPE 134:72
ARAGONA-DINKERSA 139:72
VERDENA-BABRUNGA 139:72
BANDUNGA-KANTONA 72:139
TAURUPE-INSBURGA 141:72
MELARS-TAGANROGA 72:141
KOSTROMA-DENVERA 141:72
BALATONS-KANBERA 142:72
RAVENNA-KATMANDU 144:72
HELSINKI-MUKDENA 72:145
TAURUPE-EKVADORA 72:147
JANOPOLE-HOPJORA 149:72
BILBAO-UGUNSZEME 72:149
KATVARI-HAMBURGA 72:150
AMUDARJA-PALERMO 72:74
ZAMBEZI-MANITOBA 75:72
BALTEZERS-BILBAO 76:72
SEVANS-KALABRIJA 72:76
FERMENTA-KALTENE 72:78
JITLANDE-ZENTENE 83:72
ALUKSNE-SORBONNA 84:72
OKLAHOMA-LOZANNA 72:85
KILKENIJA-PAMIRS 85:72
POCIEMS-KAZDANGA 91:72
BALDONE-GOTLANDE 72:91
BELMANTA-SEVERNA 72:91
GABORONE-USTRONE 72:92
MASTIS-KILKENIJA 72:94
MINDANAO-HOPJORA 96:72
JANOPOLE-IZMAIRA 99:72
SLOCENE-BRISTOLE 99:72
LAUTERE-BRISTOLE 73:100
DAIVANA-JURBARKA 105:73
PEREKOPS-KALTENE 73:109
BALDONE-SKIEMONE 110:73
ABAKANA-PEREKOPS 110:73
MALJORKA-KARTENA 73:110
KANTONA-LISABONA 112:73
HELSINKI-ABADANA 73:113
ALUKSNE-VESTENDE 73:113
KRETINGA-TAIMIRA 115:73
IZMAIRA-PEREKOPS 73:116
OKLAHOMA-KANBERA 121:73
TAGANROGA-BORNEO 73:124
BORNEO-KALVARIJA 124:73
KATMANDU-KONAKRI 126:73
PASIENA-RIODEORO 127:73
DUBLINA-MINESOTA 131:73
AMUDARJA-VETERNS 73:131
LOZANNA-MANITOBA 133:73
BALDONE-LABANOVA 134:73
CIECERE-INSBURGA 135:73
VERMONTA-TALLINA 73:135
BRAITONA-SEVERNA 73:137
MELBURNA-PASIENA 73:137
GABORONE-SUMATRA 137:73
OLIMPS-BALTIMORA 73:138
ALEKSOTA-DUBLINA 73:139
POCIEMS-KEMEROVA 144:73
RIODEORO-MERGUPE 146:73
SEVANS-VIKTORIJA 73:148
LAZDONA-JITLANDE 149:73
VESTENDE-BOSTONA 73:150
BALDONE-BRAITONA 76:73
TRAPENE-HONKONGA 79:73
BENDERI-OKLAHOMA 73:79
DINKERSA-POCIEMS 73:80
OKLAHOMA-CIECERE 81:73
KZILORDA-TAMPERE 82:73
BAMAKO-BALTIMORA 73:82
ZVIEDRIJA-SAPORO 73:83
KATVARI-DENKERKA 84:73
KURZEME-EKVADORA 87:73
SKIEMONE-HERSONA 73:88
ATLASS-HONDURASA 73:89
SORBONNA-GULBENE 73:89
MEISENE-RIODEORO 91:73
KANNAS-KALABRIJA 74:101
SIRDARJA-ZAMBEZI 74:105
HAIFONA-REINJORA 105:74
MEISENE-LISABONA 107:74
AMAZONE-INSBURGA 107:74
PILZENE-VALGUNDE 74:107
ARIZONA-LABANOVA 108:74
ALTAJS-MARIANNAS 74:109
JANOPOLE-AMAZONE 74:110
STOMBOLI-POCIEMS 74:111
DOTMUNDA-SALIENA 74:114
MAIKOPA-HELSINKI 74:118
GABORONE-OLSTERA 120:74
MELBURNA-BENGAZI 74:121
AIDAHO-UGUNSZEME 74:122
ALUKSNE-KAZDANGA 123:74
BRAITONA-PLATONE 74:125
INSBURGA-MELNUPE 74:127
SAIGONA-MINDANAO 128:74
BALATONS-ABAKANA 74:131
MIASURA-HONKONGA 74:132
DUBLINA-VERMONTA 132:74
MELNUPE-NIKOPOLE 74:133
MADEIRA-KAZDANGA 74:133
VETERNS-SIESARTE 134:74
CIECERE-JOKOHOMA 74:134
LAUDERI-DOTMUNDA 74:136
KANGARI-LISABONA 74:138
LIELUPE-MINESOTA 74:138
MURMANSKA-SAMAVS 140:74
MURMANSKA-VENERS 141:74
LOKARNA-JURBARKA 141:74
LITLROKA-ARAGONA 74:142
KUNLUNS-NIKOPOLE 146:74
OLSTERA-SIESARTE 147:74
LIELUPE-KZILORDA 149:74
BALTIMORA-VENERS 150:74
BOSTONA-OKLAHOMA 82:74
AVINJONA-SEVERNA 74:82
MIASURA-SIRDARJA 83:74
HAIFONA-MINESOTA 84:74
VARDURA-LABANOVA 74:84
VESTENDE-ABAKANA 74:87
KALVENE-BRAITONA 88:74
MAIKOPA-BRISTOLE 74:94
MAIKOPA-EKVADORA 74:94
MALJORKA-HONIARA 74:95
KALVENE-HELSINKI 97:74
GARONNA-KOSTROMA 100:75
OLSTERA-RADOPOLE 75:100
PALEMONA-MINHENE 75:101
LISABONA-CEILONA 75:102
PLATONE-MINDANAO 75:102
EGLAINE-RADOPOLE 105:75
INVERNESA-ELTONS 105:75
TAMPERE-KATMANDU 75:107
ALEKSOTA-KUNLUNS 75:109
MBABANE-KOSTROMA 114:75
BEBRENE-VALGUNDE 75:115
LAUDERI-MANITOBA 75:117
MINESOTA-KANBERA 118:75
TERNOPOLE-MEHIKO 75:120
VESTENDE-TAMPERE 121:75
CEILONA-JOKOHOMA 121:75
HONIARA-JANOPOLE 75:122
HAVANNA-BRISTOLE 125:75
KANGARI-RIODEORO 75:126
PEREKOPS-LAUDERI 129:75
SLOCENE-OKLAHOMA 133:75
BRISTOLE-TALLINA 75:133
OLSTERA-KOSTROMA 75:134
OKSFORDA-BENGAZI 75:136
LAUTERE-KEMEROVA 75:136
BAMAKO-KILKENIJA 75:136
LOTRINGA-SUMATRA 140:75
ATLASS-NOVGORODA 75:143
KEMEROVA-ANADIRA 144:75
SAPORO-TJANDZINA 75:144
HARBINA-KAZDANGA 145:75
LISABONA-LAZDONA 75:145
CIECERE-GABORONE 75:148
ABADANA-DENKERKA 149:75
INSBURGA-PUMPENI 75:150
NANKINA-SORBONNA 76:75
STOMBOLI-BOSFORS 78:75
FERMENTA-OREGONA 75:79
BENDERI-BRISTOLE 75:81
OLSTERA-ALEKSOTA 75:81
BEBRENE-MINDANAO 75:86
LIVORNA-HAMBURGA 88:75
BABRUNGA-HOPJORA 94:75
VERAKRUSA-INESIS 95:75
GARONNA-MINDANAO 95:75
SIRDARJA-GARONNA 75:95
OKSFORDA-TALLINA 75:96
LUCERNA-KROIDONA 96:75
ABADANA-GOTLANDE 97:75
ALEKSOTA-LIELUPE 99:75
PEDEDZE-OKSFORDA 99:75
HAMBURGA-PILZENE 76:100
PRETORIJA-MALABO 76:101
LOZANNA-BALATONS 101:76
KURZEME-OKLAHOMA 102:76
MINDANAO-PILTENE 102:76
ABADANA-SORBONNA 103:76
OKLAHOMA-EGLAINE 76:104
KOSTROMA-OGLAINE 76:105
DURBANA-KZILORDA 106:76
KANBERA-FLORENCE 76:107
BALTEZERS-TOBAGO 108:76
SORBONNA-DUBLINA 76:110
LAUTERE-BANDUNGA 76:111
ZENTENE-REINJORA 112:76
ZVIEDRIJA-MELARS 114:76
PILTENE-KZILORDA 115:76
SLOCENE-FERMENTA 116:76
ANADIRA-LISABONA 76:117
JITLANDE-LIVORNA 76:119
HELSINKI-TALLINA 76:121
TAIVANA-BANDUNGA 124:76
BALATONS-LIVORNA 76:124
MARTINIKA-KAMPIS 124:76
INSBURGA-MERGUPE 76:125
ABAKANA-FERMENTA 129:76
GARONNA-VESTENDE 131:76
BELMANTA-RANGUNA 76:133
ABAKANA-EKVADORA 134:76
ATLASS-TIRASPOLE 76:138
UGUNSZEME-OLIMPS 140:76
MUKDENA-KORNVOLA 141:76
KATMANDU-UKRAINA 76:141
USTRONE-OKLAHOMA 144:76
BABRUNGA-KAJENNA 76:144
USTRONE-BELMANTA 147:76
FLORENCE-USTRONE 148:76
SORBONNA-VAIVARI 148:76
VENERS-MALAIZIJA 76:148
PORTONOVA-MONAKO 80:76
PUMPENI-SIESARTE 84:76
KZILORDA-KAJENNA 76:84
BELMANTA-TAURUPE 84:76
HERSONA-DOTMUNDA 92:76
VETERNS-NIKOPOLE 93:76
LUCERNA-BRAITONA 94:76
TALLINA-KROIDONA 95:76
TOSMARE-JITLANDE 76:95
EKVADORA-KALTENE 76:98
ABADANA-REINJORA 99:76
OKSFORDA-MAIKOPA 77:107
VAIVARI-VERMONTA 77:107
MELBURNA-ARAGONA 77:108
FLANDRIJA-OLIMPS 109:77
PELTES-SKAGERAKS 77:111
SARAGOSA-RAUDONE 77:112
JANOPOLE-PASIENA 77:112
BEBRENE-JURBARKA 115:77
DURBANA-FERMENTA 115:77
VENERS-PORTSMUTA 77:116
BRAITONA-BOSTONA 77:116
BALATONS-SLOCENE 77:120
CEILONA-JITLANDE 120:77
LAUDERI-BALATONS 77:120
DUBLINA-BABRUNGA 122:77
MADEIRA-KORNVOLA 77:122
NIAGARA-BANDUNGA 77:122
EKVADORA-VARDURA 126:77
MEISENE-KZILORDA 128:77
JURBARKA-TAIMIRA 77:130
MANITOBA-EGLAINE 77:133
SIESARTE-BALDONE 77:135
MEISENE-GLAZGOVA 137:77
SIRDARJA-ZENTENE 77:137
MELBURNA-IZMAIRA 77:139
OLIMPS-VENTSPILS 77:139
PALEMONA-NIAGARA 141:77
KANTONA-KROIDONA 144:77
MINDANAO-RAUDONE 145:77
KORNVOLA-HARBINA 77:145
RAUDONE-KATMANDU 77:147
KORNVOLA-TAIMIRA 147:77
OLIMPS-TIRASPOLE 77:148
HONDURASA-SEVANS 148:77
GABORONE-VAIVARI 78:77
FLANDRIJA-MALABO 77:79
VAIVARI-LITLROKA 77:80
MINDANAO-LAZDONA 77:80
ATLASS-MARTINIKA 77:81
LOTRINGA-DURBANA 77:82
BELMANTA-PILTENE 77:86
PUMPENI-JOKOHOMA 86:77
ALUKSNE-OKSFORDA 88:77
TIRASPOLE-BAMAKO 77:90
BUFALO-KALVARIJA 92:77
AMAZONE-BRAITONA 95:77
NIKOPOLE-USTRONE 77:97
PLATONE-JOKOHOMA 98:77
MEISENE-AMUDARJA 100:78
USTRONE-SORBONNA 102:78
OKLAHOMA-HOPJORA 104:78
MELNUPE-KRETINGA 78:107
FLORENCE-ALUKSNE 110:78
LITLROKA-ALUKSNE 78:111
SALVANA-SORBONNA 111:78
AVINJONA-TAURUPE 112:78
HERSONA-KOSTROMA 114:78
MANITOBA-PUMPENI 78:121
GULBENE-INSBURGA 121:78
KUSTANAJA-MONAKO 126:78
NIKOPOLE-KATVARI 127:78
MEISENE-AVINJONA 132:78
PUMPENI-BRISTOLE 133:78
KONAKRI-NIKOPOLE 78:133
BELMANTA-TAIMIRA 135:78
FLORENCE-RAUDONE 135:78
PLATONE-RADOPOLE 135:78
SIESARTE-SUMATRA 78:136
SKIEMONE-MINHENE 78:136
KARTENA-FLORENCE 137:78
LOTRINGA-BALDONE 78:138
KANBERA-LISABONA 78:140
AMUDARJA-PEDEDZE 78:141
AMUDARJA-MBABANE 78:143
DENKERKA-DURBANA 78:147
RAUDONE-JITLANDE 78:147
KRETINGA-HERSONA 78:148
DURBANA-DINKERSA 148:78
DINKERSA-KANTONA 78:149
KARTENA-HAMBURGA 150:78
BABRUNGA-GARONNA 78:79
HONKONGA-HERSONA 78:80
SIESARTE-KANBERA 78:83
MALJORKA-LOZANNA 78:88
NOVGORODA-MEHIKO 78:88
ALEKSOTA-TRAPENE 78:90
KATVARI-KZILORDA 78:92
SORBONNA-TALLINA 78:98
LIVORNA-SORBONNA 99:78
VAIVARI-GOTLANDE 78:99
BOSFORS-SARAGOSA 78:99
GABORONE-NANKINA 79:100
ABADANA-BALATONS 100:79
LIELUPE-BABRUNGA 79:100
VERDENA-JOKOHOMA 104:79
KOSTROMA-KALVENE 79:105
KALTENE-OKSFORDA 106:79
RAUDONE-VESTENDE 79:109
MELARS-KUSTANAJA 79:110
BOSTONA-LABANOVA 111:79
KOSTROMA-LIVORNA 79:111
KROIDONA-MIASURA 112:79
AMAZONE-ALEKSOTA 115:79
SIESARTE-VERDENA 79:117
DOTMUNDA-LAUTERE 117:79
MINDANAO-OGLAINE 118:79
PEREKOPS-HARBINA 79:119
OREGONA-VALGUNDE 120:79
VERDENA-VALGUNDE 120:79
LAZDONA-MELBURNA 120:79
TURMANTA-KANGARI 120:79
MELBURNA-MINHENE 79:123
SORBONNA-MBABANE 79:126
JITLANDE-HUDZONA 79:126
JITLANDE-RAVENNA 79:128
PAMIRS-KUSTANAJA 79:129
MBABANE-DINKERSA 130:79
PALEMONA-LAUDERI 132:79
HONIARA-SIESARTE 134:79
GOTLANDE-SALVANA 79:134
KZILORDA-MUKDENA 79:134
BOSTONA-DENKERKA 135:79
TALLINA-ALEKSOTA 142:79
ZENTENE-LOTRINGA 143:79
BANGKOKA-BOSTONA 79:147
INSBURGA-ALUKSNE 79:147
INSBURGA-ARIZONA 79:147
OKLAHOMA-MAIKOPA 149:79
BOSTONA-INSBURGA 80:79
MELARS-SALASPILS 79:82
KILKENIJA-SALDUS 84:79
LOTRINGA-KALTENE 79:84
GABORONE-HOPJORA 84:79
KROIDONA-HERSONA 79:85
DAIVANA-LOTRINGA 89:79
BORNEO-FLANDRIJA 90:79
INESIS-UGUNSZEME 79:91
STOMBOLI-UKRAINA 79:92
LISABONA-OGLAINE 79:92
DAIVANA-AVINJONA 93:79
RADOPOLE-OREGONA 79:94
MBABANE-SKIEMONE 95:79
JOKOHOMA-OREGONA 79:95
LAUDERI-INSBURGA 79:97
SALVANA-STOMBOLI 99:79
SALVANA-RIODEORO 10:8
BILBAO-PORTORIKO 100:8
TURMANTA-DAIVANA 8:100
RANGUNA-SORBONNA 102:8
RADOPOLE-TALLINA 8:102
AMUDARJA-TAIVANA 8:102
TOLEDO-NOVGORODA 103:8
PRETORIJA-VEZUVS 103:8
DOTMUNDA-HOPJORA 105:8
BERGENA-BELMANTA 108:8
MELBURNA-SAIGONA 8:109
GLAZGOVA-IZMAIRA 109:8
RANGUNA-MINESOTA 110:8
PALEMONA-LONDONA 8:110
VESTENDE-PASIENA 8:113
MONAKO-GUBERNIJA 8:118
HAMBURGA-ABAKANA 8:118
BANDUNGA-TAIZEME 8:119
MINHENE-LISABONA 12:8
VARDURA-PALEMONA 8:122
VERAKRUSA-SAMAVS 123:8
BALATONS-NIAGARA 124:8
SIRDARJA-HARBINA 8:124
MUKDENA-MINDANAO 126:8
EGLAINE-REINJORA 129:8
ARIZONA-BRISTOLE 13:8
MUKDENA-VESTENDE 13:8
HAMBURGA-MIASURA 8:13
CIECERE-NIKOPOLE 8:133
LOKARNA-MINDANAO 137:8
KARTENA-GABORONE 137:8
RANGUNA-RADOPOLE 137:8
HONIARA-REINJORA 8:14
ZAMBEZI-BELMANTA 140:8
LOTRINGA-UKRAINA 8:144
HONIARA-GLAZGOVA 8:144
GLAZGOVA-ABADANA 8:144
ARAGONA-AVINJONA 145:8
BRISTOLE-AMAZONE 8:146
KRETINGA-TAMPERE 146:8
PEREKOPS-MEISENE 8:15
SKIEMONE-LOKARNA 8:15
MELNUPE-OKSFORDA 150:8
KAZDANGA-KUNLUNS 150:8
KALTENE-KAZDANGA 16:8
HAVANNA-GABORONE 16:8
STOMBOLI-TAMPERE 18:8
OLSTERA-BRAITONA 8:18
AMUDARJA-IZMAIRA 8:19
PORTORIKO-SAPORO 8:20
KEMEROVA-DURBANA 8:22
KOSTARIKA-PAMIRS 22:8
BRISTOLE-MBABANE 8:25
FLORENCE-HOPJORA 29:8
TAIVANA-KAZDANGA 33:8
DOTMUNDA-VARDURA 35:8
ANADIRA-HAMBURGA 36:8
KANTONA-RADOPOLE 36:8
HONKONGA-MAKENZI 8:36
FERMENTA-MADEIRA 38:8
SAPORO-STOKHOLMA 38:8
HONKONGA-ABADANA 8:40
TAIMIRA-LITLROKA 8:41
RIODEORO-MINHENE 8:44
UKRAINA-BRISTOLE 44:8
BELMANTA-DENVERA 46:8
ABAKANA-MANITOBA 47:8
CEILONA-KORNVOLA 51:8
LISABONA-MAKENZI 8:51
VALGUNDE-CEILONA 8:51
TAIZEME-RADOPOLE 52:8
TOLEDO-KUSTANAJA 8:53
TAIZEME-JITLANDE 55:8
KONAKRI-BELMANTA 8:58
IZMAIRA-DOTMUNDA 8:59
GABORONE-DEMOINA 8:65
NIKOPOLE-SUMATRA 66:8
SALVANA-LITLROKA 69:8
JOKOHOMA-KANGARI 71:8
LAZDONA-KORNVOLA 72:8
KALJAO-FLANDRIJA 79:8
BELMANTA-MINHENE 8:80
GABORONE-KALTENE 8:82
NIKOPOLE-MADEIRA 86:8
DINKERSA-MINHENE 8:93
