299
SALVANA-TENESIJA 0:102
FORMOZA-PUIKULE 102:12
SIESIKI-TOMBUKA 102:122
LOZANNA-POCIEMS 102:125
LUCERNA-GAMBIJA 102:126
PALERMO-ANGLIJA 102:127
KAPZEME-SAFOLKA 102:128
MEKSIKA-PERLOJA 102:13
MENORKA-GAMBIJA 102:130
PUIKULE-ROSTOKA 102:135
AMAZONE-POLOCKA 102:139
LIVORNA-BRISELE 102:140
MENORKA-LATVIJA 102:140
BENGAZI-GRUZIJA 102:141
BRATSKA-BOMBEJA 102:143
BENGAZI-ALABAMA 102:144
USTRONE-SALIENA 102:146
USTRONE-KALTENE 102:149
KAMBIJA-GVINEJA 102:15
RUMBULA-OBELIJA 102:20
TRAPENE-MEISENE 102:21
BRISELE-MILVOKI 102:3
MINHENE-GDANSKA 102:30
ROSTOKA-ZAMBIJA 102:33
RAUDONE-HARTUMA 102:34
MEISENE-VIDZEME 102:37
ZAMBEZI-MIRNIJA 102:40
NANKINA-ABAKANA 102:42
EGLAINE-KAPZEME 102:43
BRATSKA-LAZDIJI 102:43
DAMASKA-MIRNIJA 102:43
POLOCKA-TURCIJA 102:45
TEBRIZA-ARTJOMA 102:45
PILZENE-MUKDENA 102:46
MAKENZI-ISIKULS 102:46
KURZEME-PUIKULE 102:46
SAFOLKA-BALTIJA 102:5
ARTJOMA-SAKSIJA 102:56
TAIZEME-SILMALA 102:57
DAIVANA-KAIBALA 102:61
KAPZEME-MEKSIKA 102:63
MINHENE-SEIRIJI 102:63
NEAPOLE-INDRAJI 102:65
BERGENA-ALABAMA 102:67
OREGONA-SEIRIJI 102:69
ARKTIKA-LATVIJA 102:69
TOTNEMA-NAHODKA 102:70
SALVANA-BENGAZI 102:71
HAVANNA-VERSEKA 102:77
SALIENA-BRISELE 102:88
LAPZEME-NIAMEJA 102:89
ZAMBEZI-JAMAIKA 102:90
MAKENZI-TOMBUKA 102:92
AMAZONE-BOMBEJA 102:92
RAVENNA-VATERLO 102:99
UKRAINA-BERGENA 103:10
PILTENE-VIDZEME 103:100
NANKINA-TOMBUKA 103:102
KORSIKA-JAMAIKA 103:102
SLOCENE-KAZBEKS 103:105
POCIEMS-MILVOKI 103:105
LONDONA-NANKINA 103:105
TERMEZA-BRATSKA 103:107
VATERLO-GAMBIJA 103:112
ABADANA-TEBRIZA 103:119
OGLAINE-BRUNEJA 103:12
PAKROJA-ILMENIS 103:120
HERSONA-SAFOLKA 103:125
DEMOINA-SAFOLKA 103:129
LAZDIJI-ZAMBIJA 103:13
DURBANA-ZAMBEZI 103:130
MUKDENA-INDRAJI 103:135
OREGONA-ZAMBEZI 103:141
POCIEMS-SEIRIJI 103:141
PILTENE-KAJENNA 103:142
OREGONA-BOSTONA 103:145
NANKINA-KAPZEME 103:146
PLATONE-MARVELE 103:148
GARONNA-MIRNIJA 103:150
HERSONA-ARTJOMA 103:20
GULBENE-OREGONA 103:20
PILZENE-ULBROKA 103:24
VILGALE-ULBROKA 103:27
RUMBULA-JAMAIKA 103:27
MBABANE-OBELIJA 103:32
SAKSIJA-PAKROJA 103:34
LOKARNA-HUDZONA 103:34
RAVENNA-TEBRIZA 103:4
OGLAINE-NANKINA 103:40
SAIGONA-ARTJOMA 103:40
HUDZONA-NAHODKA 103:41
PILTENE-JAMAIKA 103:42
TAIVANA-TRIPOLE 103:44
GARONNA-HAIFONA 103:44
BRISELE-JAMAIKA 103:47
EGLAINE-KAZBEKS 103:48
RAVENNA-POLOCKA 103:49
TAIZEME-METELIS 103:54
SLOCENE-GORKIJA 103:54
SAIGONA-MUKDENA 103:56
SIESIKI-MIRNIJA 103:60
MENORKA-INDRAJI 103:60
KALVENE-VERSEKA 103:60
PALERMO-ISIKULS 103:64
SAKSIJA-SIDNEJA 103:68
TAIZEME-MIRNIJA 103:72
SIESIKI-POLOCKA 103:75
HAVANNA-ARTJOMA 103:76
LAZDONA-LOKARNA 103:77
MEISENE-KAPZEME 103:78
BRATSKA-GDANSKA 103:79
KALTENE-FORMOZA 103:80
UKRAINA-BRATSKA 103:80
LOKARNA-GVINEJA 103:83
CEILONA-LATGALE 103:85
OBELIJA-ILMENIS 103:86
MINHENE-TOTNEMA 103:87
ARIZONA-OBELIJA 103:9
KORSIKA-ANGLIJA 103:91
TRAPENE-NAHODKA 103:93
EGLAINE-LAZDONA 103:93
BENGAZI-MARVELE 103:95
PILTENE-JERSIKA 103:98
RUMBULA-LAZDIJI 103:98
BENGAZI-SIESIKI 104:10
KALTENE-PASIENA 104:100
DEMOINA-TERMEZA 104:102
RAUDONE-ZEMGALE 104:109
HUDZONA-VIDZEME 104:110
NEAPOLE-TRIPOLE 104:113
KAJENNA-ZAMBEZI 104:113
KARTENA-MEKSIKA 104:117
KAPZEME-SILMALA 104:120
SALIENA-ALABAMA 104:121
PLATONE-TAIVANA 104:128
VATERLO-SAFOLKA 104:136
PENKULE-PERLOJA 104:139
ZEMGALE-SIDNEJA 104:142
LONDONA-CEILONA 104:142
SEVERNA-VERSEKA 104:144
GULBENE-DUBLINA 104:144
KALVENE-TOBRUKA 104:147
PUIKULE-SAFOLKA 104:150
TRAPENE-LAPZEME 104:17
SALIENA-ULBROKA 104:22
DEMOINA-PASIENA 104:25
VERDENA-PAKROJA 104:26
TAIVANA-KAPZEME 104:26
DUBLINA-BOMBEJA 104:29
PERLOJA-TURCIJA 104:30
ZENTENE-PLATONE 104:35
MEISENE-OBELIJA 104:39
PLATONE-POCIEMS 104:39
ARIZONA-LATVIJA 104:39
BOMBEJA-NIAMEJA 104:4
CEILONA-SKOTIJA 104:40
MBABANE-UKRAINA 104:42
MEKSIKA-ANGLIJA 104:44
HAIFONA-VILGALE 104:45
TOTNEMA-PAROGLE 104:48
KAMBIJA-PERLOJA 104:51
TAIVANA-KANTONA 104:52
ROSTOKA-BOMBEJA 104:55
LIVORNA-KVEBEKA 104:6
RANGUNA-OBELIJA 104:60
PASIENA-GRUZIJA 104:60
USTRONE-RAVENNA 104:64
LUCERNA-VIDUKLE 104:69
TEBRIZA-BOMBEJA 104:72
LATGALE-BRUNEJA 104:73
LEIPCIGA-VANAGI 104:73
LUCERNA-TAIZEME 104:82
USTRONE-NAHODKA 104:84
PUIKULE-KAMPALA 104:85
LONDONA-MUKDENA 104:85
POCIEMS-SEVILJA 104:86
UKRAINA-TAIVANA 104:88
PUIKULE-ULBROKA 104:88
GARONNA-LAPZEME 104:89
CEILONA-ZAMBEZI 104:9
HARTUMA-PAKROJA 105:0
OREGONA-LATVIJA 105:10
CEILONA-ARTJOMA 105:10
ZAMBEZI-TOBRUKA 105:100
BRISELE-TRIPOLE 105:101
ALABAMA-BRUNEJA 105:106
LONDONA-TALLINA 105:106
DAIVANA-ISIKULS 105:108
KARTENA-OREGONA 105:108
RAUDONE-MUKDENA 105:109
VATERLO-KAZBEKS 105:110
ABADANA-TRIPOLE 105:121
MENORKA-GDANSKA 105:121
LAZDONA-ANGLIJA 105:124
KANTONA-VIDZEME 105:128
NEAPOLE-MILVOKI 105:129
MINHENE-TRIPOLE 105:13
MARVELE-GORKIJA 105:130
PUIKULE-GAMBIJA 105:131
VILGALE-ANGLIJA 105:132
KORSIKA-ZAMBIJA 105:133
RAVENNA-BRISELE 105:135
KALVENE-HUDZONA 105:138
RAUDONE-MEKSIKA 105:138
TERMEZA-RUMBULA 105:145
PASIENA-LATVIJA 105:15
LATGALE-SKOTIJA 105:150
MBABANE-PALERMO 105:16
MEISENE-GULBENE 105:16
VIDUKLE-KAIBALA 105:17
INDRAJI-METELIS 105:17
KALTENE-PAROGLE 105:18
TRAPENE-ULBROKA 105:25
PLATONE-BRUNEJA 105:26
ROSTOKA-KORSIKA 105:28
TRAPENE-MBABANE 105:3
MINHENE-PILZENE 105:30
RUMBULA-METELIS 105:31
SAFOLKA-INDRAJI 105:35
VATERLO-GORKIJA 105:35
ISIKULS-MILVOKI 105:35
USTRONE-OREGONA 105:4
MILVOKI-NAHODKA 105:41
MBABANE-CEILONA 105:42
AMERIKA-PERLOJA 105:44
KORSIKA-SAKSIJA 105:44
HARTUMA-ISIKULS 105:5
MEISENE-KALTENE 105:52
GRUZIJA-SIDNEJA 105:53
MEISENE-NEAPOLE 105:54
HAVANNA-ZAMBEZI 105:56
ARIZONA-SEIRIJI 105:58
INDRAJI-SAKSIJA 105:59
PILTENE-LAZDIJI 105:59
HERSONA-KURZEME 105:61
KAZBEKS-KAMBIJA 105:62
VERSEKA-OBELIJA 105:63
USTRONE-MEKSIKA 105:7
TALLINA-LATGALE 105:71
SALIENA-DAIVANA 105:74
KAJENNA-ROSTOKA 105:77
HERSONA-ILMENIS 105:77
TERMEZA-PENKULE 105:78
TRAPENE-PAROGLE 105:79
TOTNEMA-ISIKULS 105:8
TOBRUKA-BOMBEJA 105:80
GULBENE-ISIKULS 105:80
ARIZONA-PUIKULE 105:83
BENGAZI-TURCIJA 105:85
TAIZEME-TRIPOLE 105:85
ARTJOMA-NIAMEJA 105:89
POLOCKA-DAMASKA 105:9
VATERLO-PAKROJA 105:92
OGLAINE-JAMAIKA 105:96
DURBANA-ORINOKO 105:98
ARIZONA-DEMOINA 106:1
MBABANE-NIAMEJA 106:100
TAIZEME-GDANSKA 106:11
VATERLO-SKOTIJA 106:11
GORKIJA-SIDNEJA 106:111
KALVENE-BENGAZI 106:113
KURZEME-ARKTIKA 106:114
KALTENE-HARTUMA 106:115
SEVERNA-TOMBUKA 106:118
HUDZONA-KAZBEKS 106:119
EGLAINE-BERGENA 106:120
AMERIKA-VIDAUJA 106:120
BRUNEJA-SAKSIJA 106:124
HARBINA-NIAMEJA 106:131
BOSTONA-ILMENIS 106:132
ARAGONA-MUKDENA 106:135
KAJENNA-SIDNEJA 106:139
SLOCENE-PILTENE 106:14
TALLINA-TOTNEMA 106:140
BERGENA-VIDUKLE 106:142
MAKENZI-PENKULE 106:144
TOBRUKA-GVINEJA 106:146
POLOCKA-GVINEJA 106:147
MENORKA-PERLOJA 106:147
RAUDONE-BOSTONA 106:147
OGLAINE-RUMBULA 106:149
VERSEKA-MENORKA 106:17
HERSONA-KAPSUKA 106:17
HARBINA-TAIZEME 106:18
SEVERNA-HAVANNA 106:18
SALIENA-DAMASKA 106:2
MUKDENA-BRUNEJA 106:2
ZENTENE-VERSEKA 106:21
OGLAINE-TOTNEMA 106:26
TRIPOLE-KORSIKA 106:3
NEAPOLE-RUMBULA 106:3
PALERMO-BALTIJA 106:32
MAKENZI-NAHODKA 106:33
MINHENE-POCIEMS 106:34
HERSONA-OREGONA 106:36
LAZDONA-GORKIJA 106:4
BRATSKA-NIAMEJA 106:41
USTRONE-SIDNEJA 106:43
DEMOINA-BOMBEJA 106:46
BERGENA-NIAMEJA 106:48
LATGALE-MILVOKI 106:50
NEAPOLE-DAMASKA 106:51
PEDEDZE-KORSIKA 106:52
KAPZEME-ZAMBIJA 106:54
LOKARNA-ROSTOKA 106:54
AMAZONE-KAJENNA 106:59
MEISENE-ORINOKO 106:59
SEIRIJI-ILMENIS 106:6
ZAMBEZI-VILGALE 106:62
PUIKULE-DAMASKA 106:62
KURZEME-JAMAIKA 106:63
HERSONA-RAVENNA 106:65
TAIVANA-VILGALE 106:68
ALABAMA-MEKSIKA 106:72
TERMEZA-TRIPOLE 106:73
JAMAIKA-PAKROJA 106:73
PAKROJA-NIAMEJA 106:73
ARTJOMA-METELIS 106:75
ARKTIKA-METELIS 106:76
ABADANA-MARVELE 106:77
MILVOKI-PAKROJA 106:78
ARIZONA-LOZANNA 106:8
USTRONE-TAIZEME 106:84
SALIENA-OREGONA 106:86
SEVERNA-SAFOLKA 106:87
DAMASKA-SAKSIJA 106:88
DEMOINA-VERSEKA 106:9
DEMOINA-RAVENNA 106:90
NEAPOLE-VERSEKA 106:95
VERDENA-KURZEME 106:99
PASIENA-PENKULE 106:99
RANGUNA-BRUNEJA 107:10
PASVALE-SEVILJA 107:100
PLATONE-MAJORKA 107:102
MILVOKI-AMERIKA 107:104
MEISENE-HAIFONA 107:108
GULBENE-TAIVANA 107:11
HERSONA-TERMEZA 107:11
MBABANE-ARTJOMA 107:110
MINHENE-VERSEKA 107:112
DAIVANA-KORSIKA 107:115
SALVANA-RANGUNA 107:116
SAIGONA-VERDENA 107:117
ARTJOMA-SERBIJA 107:119
BERGENA-BRISELE 107:119
ZENTENE-ARKTIKA 107:12
VERDENA-LOZANNA 107:122
PILZENE-KAZBEKS 107:124
KALTENE-NIAMEJA 107:126
MUKDENA-VATERLO 107:13
POCIEMS-KAMBIJA 107:13
TRIPOLE-GAMBIJA 107:130
SAIGONA-SAFOLKA 107:132
ZEMGALE-VERSEKA 107:138
LAPZEME-MARVELE 107:138
ABAKANA-GDANSKA 107:14
BERGENA-LATGALE 107:142
SEIRIJI-SAKSIJA 107:143
MINHENE-ULBROKA 107:150
GARONNA-KAMPALA 107:20
MARVELE-LAZDIJI 107:21
ROSTOKA-KAMBIJA 107:27
FORMOZA-HARTUMA 107:27
PASIENA-SAKSIJA 107:27
BRISELE-GAMBIJA 107:31
ZEMGALE-PUIKULE 107:32
LOKARNA-MAKENZI 107:32
SLOCENE-ARAGONA 107:32
TRAPENE-ISIKULS 107:32
LUCERNA-KAMBIJA 107:34
HAVANNA-SERBIJA 107:35
PUIKULE-RUMBULA 107:41
TOTNEMA-ZEMGALE 107:43
HERSONA-PAROGLE 107:43
NANKINA-DURBANA 107:44
KAJENNA-PEDEDZE 107:45
KAZBEKS-ULBROKA 107:45
UKRAINA-NAHODKA 107:47
KALVENE-BRATSKA 107:49
MBABANE-ANGLIJA 107:5
MINHENE-METELIS 107:5
KVEBEKA-ZAMBIJA 107:5
SLOCENE-KARTENA 107:52
TRIPOLE-BALTIJA 107:54
ARAGONA-MILVOKI 107:57
SAIGONA-VIDAUJA 107:62
RUMBULA-ROSTOKA 107:63
GDANSKA-INDRAJI 107:63
POLOCKA-GORKIJA 107:68
AMAZONE-SEVILJA 107:70
HAIFONA-TEBRIZA 107:75
HIROSIMA-VANAGI 107:76
PLATONE-KVEBEKA 107:77
TEBRIZA-BRATSKA 107:80
VERDENA-VIDAUJA 107:83
FORMOZA-TRIPOLE 107:85
LUCERNA-TURCIJA 107:89
LOKARNA-JERSIKA 107:90
MUKDENA-NEAPOLE 107:92
HAVANNA-SEVILJA 108:1
HERSONA-MEKSIKA 108:100
LOZANNA-GORKIJA 108:101
RANGUNA-MILVOKI 108:101
TRIPOLE-KAMBIJA 108:101
KVEBEKA-TOMBUKA 108:101
ZAMBEZI-SAKSIJA 108:105
MILVOKI-ZAMBIJA 108:106
HERSONA-ZAMBIJA 108:107
VILGALE-PAKROJA 108:11
RUMBULA-BRATSKA 108:110
POCIEMS-PALERMO 108:110
MEISENE-LOKARNA 108:110
UKRAINA-VIDZEME 108:115
PEDEDZE-SEIRIJI 108:115
EGLAINE-ARKTIKA 108:117
KANTONA-SAKSIJA 108:125
RANGUNA-BRISELE 108:129
HAVANNA-HARTUMA 108:129
MINHENE-ILMENIS 108:129
KARTENA-LATVIJA 108:13
KAZBEKS-ANGLIJA 108:132
HUDZONA-SEVILJA 108:14
MAKENZI-GVINEJA 108:141
NANKINA-MILVOKI 108:142
MBABANE-RAVENNA 108:143
ZENTENE-HAVANNA 108:146
VERDENA-GAMBIJA 108:148
MINHENE-PILTENE 108:150
TERMEZA-LATVIJA 108:19
SAIGONA-RAVENNA 108:2
TAIZEME-LATVIJA 108:20
MAKENZI-TURCIJA 108:21
KAZBEKS-SKOTIJA 108:22
PASIENA-ALABAMA 108:26
PENKULE-MARVELE 108:27
PILZENE-RAVENNA 108:28
VIDZEME-FORMOZA 108:31
ZENTENE-TOMBUKA 108:35
INDRAJI-BRUNEJA 108:41
KVEBEKA-INDRAJI 108:43
BERGENA-KVEBEKA 108:43
HERSONA-ZAMBEZI 108:43
JAMAIKA-SERBIJA 108:45
DAMASKA-OBELIJA 108:47
RANGUNA-TOBRUKA 108:5
HERSONA-VERSEKA 108:52
KALTENE-ARIZONA 108:52
RAUDONE-HAVANNA 108:54
ARAGONA-JERSIKA 108:54
KANTONA-BOMBEJA 108:57
MUKDENA-KAPZEME 108:57
KALVENE-PAROGLE 108:58
KALVENE-ILMENIS 108:59
SEVERNA-PALERMO 108:59
SALIENA-SEVERNA 108:59
CEILONA-VIDUKLE 108:60
POCIEMS-ARKTIKA 108:60
PAKROJA-ANGLIJA 108:64
ZEMGALE-SILMALA 108:65
HERSONA-ABAKANA 108:67
ORINOKO-INDRAJI 108:68
LOZANNA-BALTIJA 108:69
NEAPOLE-GORKIJA 108:70
LIVORNA-ABADANA 108:73
PEDEDZE-GORKIJA 108:74
IGAUNIJA-DRUSTI 108:80
ZENTENE-FORMOZA 108:81
MENORKA-SERBIJA 108:83
AMAZONE-TURCIJA 108:85
KARTENA-SEIRIJI 108:86
LUCERNA-TOMBUKA 108:87
KAIBALA-NAHODKA 108:9
GRUZIJA-GORKIJA 108:9
KAPSUKA-LAZDIJI 108:90
OREGONA-ABADANA 108:92
VERDENA-KAMPALA 108:93
PASVALE-SERBIJA 109:0
MINHENE-UKRAINA 109:0
MAKENZI-KURZEME 109:1
OGLAINE-MAKENZI 109:10
GORKIJA-ANGLIJA 109:10
MARVELE-MIRNIJA 109:102
TOTNEMA-TOMBUKA 109:11
DURBANA-ULBROKA 109:110
VIDZEME-METELIS 109:111
TRAPENE-VATERLO 109:111
CEILONA-PEDEDZE 109:113
LAZDONA-HAVANNA 109:115
ROSTOKA-GAMBIJA 109:116
HERSONA-BRUNEJA 109:119
CEILONA-ZEMGALE 109:12
SAIGONA-GVINEJA 109:122
BERGENA-ILMENIS 109:122
ALABAMA-MIRNIJA 109:123
TAIVANA-ISIKULS 109:125
UKRAINA-CEILONA 109:126
PEDEDZE-BRUNEJA 109:126
TEBRIZA-TOTNEMA 109:126
LOZANNA-VATERLO 109:131
ZAMBEZI-DAMASKA 109:134
KARTENA-TAIZEME 109:138
TAIVANA-BRATSKA 109:139
ARAGONA-LIVORNA 109:141
MBABANE-KORSIKA 109:143
POLOCKA-GAMBIJA 109:146
KAJENNA-ARKTIKA 109:149
RAUDONE-LONDONA 109:16
RUMBULA-GAMBIJA 109:17
TAIZEME-SAKSIJA 109:17
ARKTIKA-GAMBIJA 109:2
DOMINIKA-DRUSTI 109:2
ABAKANA-MAJORKA 109:20
ISIKULS-NEAPOLE 109:21
MINHENE-VATERLO 109:25
ZAMBEZI-VATERLO 109:26
DAIVANA-VIDZEME 109:3
TRAPENE-PLATONE 109:3
MARVELE-LATVIJA 109:30
MARVELE-GRUZIJA 109:32
BRISELE-MENORKA 109:35
ARTJOMA-PASVALE 109:36
TERMEZA-GAMBIJA 109:39
VIDUKLE-PERLOJA 109:39
ANGLIJA-ILMENIS 109:40
OGLAINE-MAJORKA 109:42
SLOCENE-PAROGLE 109:44
ILMENIS-METELIS 109:46
KORSIKA-GDANSKA 109:47
TAIVANA-PERLOJA 109:47
LOZANNA-ULBROKA 109:5
DAIVANA-METELIS 109:50
ZEMGALE-METELIS 109:50
FORMOZA-MAJORKA 109:52
HARTUMA-GORKIJA 109:54
OGLAINE-GARONNA 109:55
HAIFONA-ABADANA 109:56
MEISENE-PEDEDZE 109:58
ZAMBEZI-KAPZEME 109:60
TOMBUKA-PERLOJA 109:64
MILVOKI-KAPSUKA 109:65
AUSTRIJA-DRUSTI 109:65
ZENTENE-LAPZEME 109:66
DAIVANA-VILGALE 109:67
KAZBEKS-BALTIJA 109:68
LOKARNA-NANKINA 109:69
MBABANE-METELIS 109:69
SLOCENE-PASIENA 109:7
ORINOKO-ULBROKA 109:72
TOTNEMA-ULBROKA 109:74
LOZANNA-PAROGLE 109:75
KALVENE-BALTIJA 109:8
NEAPOLE-KAMPALA 109:81
LOZANNA-MEKSIKA 109:84
LOKARNA-SILMALA 109:90
SAIGONA-OREGONA 109:95
KALTENE-TERMEZA 109:98
KALTENE-ABAKANA 11:10
HARBINA-ALABAMA 11:101
SALIENA-SAFOLKA 11:102
KALTENE-SAFOLKA 11:107
LONDONA-BRUNEJA 11:118
RAUDONE-PASIENA 11:119
MBABANE-VIDAUJA 11:120
TRAPENE-LAZDIJI 11:121
ZENTENE-SILMALA 11:125
PASIENA-VANAGI 111:13
KAIBALA-MENORKA 11:13
LOKARNA-TAIVANA 11:132
ADELAIDA-VANAGI 11:133
KVEBEKA-OBELIJA 11:136
RANGUNA-SERBIJA 11:137
NANKINA-MAJORKA 11:14
RAVENNA-GORKIJA 11:145
DAIVANA-SKOTIJA 11:146
PILZENE-KAIBALA 11:146
PEDEDZE-TEBRIZA 11:147
HERSONA-TEBRIZA 11:148
KVEBEKA-ANGLIJA 11:15
INDRAJI-ILMENIS 11:18
PUIKULE-LATVIJA 11:19
ARKTIKA-SKOTIJA 11:21
USTRONE-NEAPOLE 11:21
VESTENDE-DRUSTI 11:21
PASIENA-VERSEKA 11:23
AMERIKA-VANAGI 111:25
RAVENNA-INDRAJI 11:26
TRAPENE-SILMALA 11:29
HERSONA-ANGLIJA 11:30
TOMBUKA-SEVILJA 11:31
LONDONA-ALABAMA 11:33
MENORKA-TOBRUKA 11:36
USTRONE-METELIS 11:36
ZEMGALE-PAKROJA 11:38
RANGUNA-SEIRIJI 11:4
PENKULE-GRUZIJA 11:43
MENORKA-MAJORKA 11:43
UKRAINA-LATVIJA 11:45
BRATSKA-KORSIKA 11:46
LOKARNA-SALVANA 11:48
TRAPENE-KANTONA 11:48
MILVOKI-NIAMEJA 11:49
RAVENNA-HAVANNA 11:5
RAVENNA-SKOTIJA 11:50
ABAKANA-ZEMGALE 11:51
MUKDENA-SERBIJA 11:52
PILTENE-BRATSKA 11:53
GULBENE-LAZDIJI 11:54
SALIENA-NIAMEJA 11:55
BRISELE-SKOTIJA 11:56
PASIENA-PAROGLE 11:57
ARAGONA-LATGALE 11:58
DURBANA-ARKTIKA 11:63
PALERMO-VILGALE 11:65
KAJENNA-INDRAJI 11:66
SALIENA-HUDZONA 11:73
SEIRIJI-MIRNIJA 11:74
AMAZONE-LUCERNA 11:76
EGLAINE-ZAMBIJA 11:78
LAPZEME-SIDNEJA 11:78
PASIENA-SERBIJA 11:81
TOTNEMA-GVINEJA 11:83
PILZENE-JERSIKA 11:86
DUBLINA-LUCERNA 11:94
DEMOINA-ROSTOKA 11:98
PUIKULE-VILGALE 11:99
PILZENE-HAIFONA 110:1
MAJORKA-MEKSIKA 110:100
SLOCENE-RANGUNA 110:101
LONDONA-TAIVANA 110:104
DEMOINA-MUKDENA 110:104
KALTENE-MARVELE 110:105
KANTONA-SALVANA 110:106
GULBENE-ULBROKA 110:107
BENGAZI-SERBIJA 110:107
VERDENA-RUMBULA 110:109
TOTNEMA-SKOTIJA 110:11
HAIFONA-LAPZEME 110:112
HUDZONA-SILMALA 110:116
ZENTENE-KURZEME 110:12
SEVERNA-ZAMBIJA 110:128
LOKARNA-ILMENIS 110:129
SLOCENE-FORMOZA 110:13
KAMBIJA-SIDNEJA 110:130
HARTUMA-MENORKA 110:131
LOKARNA-DURBANA 110:133
TAIZEME-KORSIKA 110:133
MAJORKA-KVEBEKA 110:139
EGLAINE-ANGLIJA 110:14
NANKINA-SEVILJA 110:14
SALIENA-ARKTIKA 110:14
RUMBULA-ILMENIS 110:144
TRAPENE-MIRNIJA 110:145
MAKENZI-VIDZEME 110:147
ZEMGALE-KORSIKA 110:148
VATERLO-TRIPOLE 110:148
KANTONA-DURBANA 110:15
OGLAINE-VIDUKLE 110:150
NEAPOLE-TURCIJA 110:17
MBABANE-ALABAMA 110:18
PILTENE-LUCERNA 110:19
LOZANNA-SIDNEJA 110:19
TALLINA-BOSTONA 110:22
SAIGONA-SIDNEJA 110:26
ARAGONA-PALERMO 110:27
MINHENE-PUIKULE 110:28
PLATONE-PENKULE 110:31
ARKTIKA-LAZDIJI 110:37
GARONNA-ARIZONA 110:38
KAZBEKS-SIDNEJA 110:39
USTRONE-SERBIJA 110:39
TAIVANA-NANKINA 110:4
VIDZEME-ARKTIKA 110:40
PEDEDZE-TURCIJA 110:48
MBABANE-VERDENA 110:48
GULBENE-KAJENNA 110:49
NAHODKA-GDANSKA 110:49
ZENTENE-KAJENNA 110:50
ABADANA-ARTJOMA 110:50
KALTENE-RANGUNA 110:51
AMAZONE-TOMBUKA 110:52
TRAPENE-BOSTONA 110:53
POCIEMS-LAPZEME 110:6
GARONNA-DAMASKA 110:60
SILMALA-DAMASKA 110:62
AMAZONE-TERMEZA 110:70
VIDAUJA-MIRNIJA 110:72
GULBENE-FORMOZA 110:79
AMERIKA-POLOCKA 110:82
PILZENE-DAMASKA 110:83
RAVENNA-SAFOLKA 110:84
MINHENE-MAJORKA 110:86
BOSTONA-SILMALA 110:89
BENGAZI-BRATSKA 110:89
ALABAMA-GORKIJA 110:91
LUCERNA-FORMOZA 110:94
MAKENZI-KORSIKA 110:94
KAIBALA-MEKSIKA 110:94
SALVANA-TEBRIZA 110:95
SAIGONA-LAPZEME 110:98
RAVENNA-TOTNEMA 111:10
EGLAINE-NANKINA 111:10
MINHENE-MENORKA 111:100
NEAPOLE-KAPSUKA 111:102
SKOTIJA-GVINEJA 111:106
GULBENE-DAMASKA 111:110
LUCERNA-LAZDIJI 111:113
RAUDONE-MARVELE 111:115
HUDZONA-LAZDIJI 111:118
MAKENZI-LATVIJA 111:122
HARTUMA-KVEBEKA 111:127
RAVENNA-BOMBEJA 111:129
TRAPENE-BRUNEJA 111:129
ZEMGALE-PAROGLE 111:134
HUDZONA-KVEBEKA 111:135
VERSEKA-LAZDIJI 111:14
PILTENE-DURBANA 111:145
HARBINA-KVEBEKA 111:147
GORKIJA-BALTIJA 111:148
KALTENE-KALVENE 111:149
PEDEDZE-MENORKA 111:149
ARAGONA-KAJENNA 111:150
PLATONE-DAIVANA 111:150
KURZEME-NIAMEJA 111:17
KARTENA-UKRAINA 111:19
BRUNEJA-TURCIJA 111:20
RAUDONE-OBELIJA 111:25
HARTUMA-MARVELE 111:25
KANTONA-ZEMGALE 111:28
LATVIJA-TURCIJA 111:29
PASIENA-JERSIKA 111:3
HUDZONA-SIDNEJA 111:3
SALVANA-SAKSIJA 111:37
MUKDENA-TOTNEMA 111:51
RAUDONE-BRUNEJA 111:54
RAVENNA-PASVALE 111:55
RUMBULA-PERLOJA 111:55
MUKDENA-HARTUMA 111:6
GULBENE-AMERIKA 111:62
KORSIKA-POLOCKA 111:62
GARONNA-TAIVANA 111:63
SALVANA-ANGLIJA 111:63
VIDUKLE-SEIRIJI 111:64
BRISELE-GRUZIJA 111:65
ROSTOKA-SIDNEJA 111:67
TRAPENE-RAVENNA 111:68
LATGALE-PASVALE 111:75
PENKULE-KAMBIJA 111:76
BRATSKA-SAKSIJA 111:81
LUCERNA-SEVILJA 111:81
OZOLAINE-DRUSTI 111:82
TEBRIZA-SIESIKI 111:85
CEILONA-DURBANA 111:88
MEKSIKA-BRUNEJA 111:9
PILTENE-CEILONA 111:91
TAIVANA-HAVANNA 111:92
SLOCENE-BRISELE 111:97
SEVERNA-PEDEDZE 111:98
NANKINA-VIDUKLE 111:98
FRANCIJA-VANAGI 111:98
PLATONE-VATERLO 111:99
ALABAMA-NAHODKA 112:10
ARIZONA-KVEBEKA 112:10
PLATONE-PALERMO 112:101
PAROGLE-GRUZIJA 112:102
PILTENE-VILGALE 112:104
LAPZEME-SAKSIJA 112:108
DUBLINA-BERGENA 112:108
KAPZEME-JAMAIKA 112:115
KALTENE-HUDZONA 112:115
BRATSKA-SKOTIJA 112:116
OGLAINE-PASIENA 112:121
TOTNEMA-PUIKULE 112:126
DURBANA-BERGENA 112:130
AMAZONE-JERSIKA 112:132
LAZDONA-LATVIJA 112:135
HAVANNA-PASVALE 112:135
UKRAINA-NANKINA 112:136
HERSONA-POCIEMS 112:137
