51
TAURUPE-RIODEORO 0:111
HONDURASA-STARAPLANINA 109:134
TERNOPOLE-STARAPLANINA 117:138
SKAGERAKS-STARAPLANINA 149:118
TIRASPOLE-STARAPLANINA 79:62
PETROPAVLOVSKA-ALEKSOTA 116:115
NOVOMOSKOVSKA-KALIFORNIJA 23:54
NOVOMOSKOVSKA-BELOMORSKA 84:37
MINEAPOLISA-VESTLOTJANA 118:124
HAIDARABADA-VESTLOTJANA 41:60
KAUGURCIEMS-VESTLOTJANA 86:40
PORTOPRENSA-VESTLOTJANA 91:5
MERGUPE-PETROPAVLOVSKA 108:64
DENVERA-PETROPAVLOVSKA 114:42
KANBERA-PETROPAVLOVSKA 120:121
HONIARA-PETROPAVLOVSKA 127:9
MELNUPE-PETROPAVLOVSKA 13:12
OLSTERA-PETROPAVLOVSKA 136:117
TAIMIRA-PETROPAVLOVSKA 136:90
SUMATRA-PETROPAVLOVSKA 145:10
ANADIRA-PETROPAVLOVSKA 147:101
TAURUPE-PETROPAVLOVSKA 27:73
NIAGARA-PETROPAVLOVSKA 31:79
MIASURA-PETROPAVLOVSKA 50:91
MADEIRA-PETROPAVLOVSKA 59:138
IZMAIRA-PETROPAVLOVSKA 71:103
VARDURA-PETROPAVLOVSKA 73:113
LIELUPE-PETROPAVLOVSKA 9:93
HOPJORA-PETROPAVLOVSKA 94:31
HAIDARABADA-RAVALPINDI 0:34
PORTOPRENSA-RAVALPINDI 132:66
MINEAPOLISA-RAVALPINDI 8:115
KAUGURCIEMS-RAVALPINDI 93:47
STARAPLANINA-LIELUPE 117:7
KENTERBERIJA-LIELUPE 41:56
KENTERBERIJA-BRAMAPUTRA 37:62
KENTERBERIJA-GLAZGOVA 130:19
KRASNOVODSKA-GLAZGOVA 148:11
STARAPLANINA-GLAZGOVA 31:134
KENTERBERIJA-TAIMIRA 80:5
KAUGURCIEMS-PORTMORSBI 10:106
VESTLOTJANA-PORTMORSBI 113:112
HAIDARABADA-PORTMORSBI 118:55
PORTOPRENSA-PORTMORSBI 21:133
MINEAPOLISA-PORTMORSBI 96:61
MINEAPOLISA-BELOMORSKA 50:111
KAUGURCIEMS-BELOMORSKA 54:11
HAIDARABADA-BELOMORSKA 76:82
VESTLOTJANA-BELOMORSKA 77:144
PORTOPRENSA-BELOMORSKA 95:39
VESTLOTJANA-NOVOMOSKOVSKA 110:96
MINEAPOLISA-NOVOMOSKOVSKA 139:39
HAIDARABADA-NOVOMOSKOVSKA 37:25
KAUGURCIEMS-NOVOMOSKOVSKA 62:113
PORTOPRENSA-NOVOMOSKOVSKA 8:122
OLSTERA-KARAKORUMS 105:128
LIELUPE-KARAKORUMS 111:11
HOPJORA-KARAKORUMS 12:65
TAURUPE-KARAKORUMS 127:97
VARDURA-KARAKORUMS 133:129
MADEIRA-KARAKORUMS 142:60
NIAGARA-KARAKORUMS 148:88
MAIKOPA-KARAKORUMS 2:66
DENVERA-KARAKORUMS 20:79
MELNUPE-KARAKORUMS 28:104
IZMAIRA-KARAKORUMS 31:27
SUMATRA-KARAKORUMS 41:78
MERGUPE-KARAKORUMS 43:124
KANBERA-KARAKORUMS 53:25
TAIMIRA-KARAKORUMS 89:93
HONIARA-KARAKORUMS 92:148
MIASURA-KARAKORUMS 97:72
ANADIRA-KARAKORUMS 98:99
SARAGOSA-KALIFORNIJA 100:7
KEMEROVA-KALIFORNIJA 148:113
ALEKSOTA-KALIFORNIJA 26:106
GLAZGOVA-KALIFORNIJA 4:23
RIODEORO-KALIFORNIJA 66:12
MINESOTA-KALIFORNIJA 76:67
LABANOVA-KALIFORNIJA 95:141
KANBERA-STARAPLANINA 120:3
VARDURA-STARAPLANINA 134:101
IZMAIRA-STARAPLANINA 138:89
NIAGARA-STARAPLANINA 140:79
HONIARA-STARAPLANINA 18:107
OLSTERA-STARAPLANINA 19:128
SUMATRA-STARAPLANINA 43:136
TAIMIRA-STARAPLANINA 56:116
MADEIRA-STARAPLANINA 69:28
ANADIRA-STARAPLANINA 73:90
MIASURA-STARAPLANINA 75:7
HOPJORA-STARAPLANINA 86:117
DENVERA-STARAPLANINA 86:136
KENTERBERIJA-TERNOPOLE 70:43
HAIDARABADA-LABANOVA 115:0
MINEAPOLISA-LABANOVA 133:69
PORTOPRENSA-LABANOVA 30:87
KAUGURCIEMS-LABANOVA 59:143
KAUGURCIEMS-KRASNOVODSKA 106:103
PORTOPRENSA-KRASNOVODSKA 146:53
HAIDARABADA-KRASNOVODSKA 38:63
MINEAPOLISA-KRASNOVODSKA 7:12
ANADIRA-PORTOPRENSA 11:99
TAIMIRA-PORTOPRENSA 128:148
IZMAIRA-PORTOPRENSA 132:117
VARDURA-PORTOPRENSA 138:35
KANBERA-PORTOPRENSA 149:15
OLSTERA-PORTOPRENSA 16:85
HONIARA-PORTOPRENSA 20:116
SUMATRA-PORTOPRENSA 25:92
NIAGARA-PORTOPRENSA 32:5
DENVERA-PORTOPRENSA 35:140
HOPJORA-PORTOPRENSA 7:106
MADEIRA-PORTOPRENSA 85:39
MIASURA-PORTOPRENSA 99:64
STARAPLANINA-MELNUPE 51:131
KENTERBERIJA-MELNUPE 80:48
ALEKSOTA-RIODEORO 113:51
KEMEROVA-RIODEORO 12:109
SARAGOSA-RIODEORO 16:52
GLAZGOVA-RIODEORO 41:7
MINESOTA-RIODEORO 48:90
LABANOVA-RIODEORO 68:41
NOVOMOSKOVSKA-RIODEORO 55:50
TERNOPOLE-TIRASPOLE 110:26
HONDURASA-TIRASPOLE 122:114
HONDURASA-TERNOPOLE 30:112
SKAGERAKS-TIRASPOLE 52:60
SKAGERAKS-TERNOPOLE 89:57
HONDURASA-MINEAPOLISA 149:142
SKAGERAKS-MINEAPOLISA 35:54
STARAPLANINA-BELOMORSKA 106:35
KRASNOVODSKA-BELOMORSKA 114:127
KENTERBERIJA-BELOMORSKA 5:36
STARAPLANINA-NOVOMOSKOVSKA 21:148
KENTERBERIJA-NOVOMOSKOVSKA 73:35
KRASNOVODSKA-NOVOMOSKOVSKA 97:37
PORTOPRENSA-MAIKOPA 0:133
HAIDARABADA-MAIKOPA 150:93
MINEAPOLISA-MAIKOPA 78:22
KAUGURCIEMS-MAIKOPA 87:111
PORTOPRENSA-PETROPAVLOVSKA 108:66
MINEAPOLISA-PETROPAVLOVSKA 13:67
KAUGURCIEMS-PETROPAVLOVSKA 139:33
HAIDARABADA-PETROPAVLOVSKA 6:36
MINEAPOLISA-TERNOPOLE 147:139
KAUGURCIEMS-TERNOPOLE 23:46
PORTOPRENSA-TERNOPOLE 3:149
HAIDARABADA-TERNOPOLE 84:37
KAUGURCIEMS-PORTOPRENSA 100:113
HAIDARABADA-PORTOPRENSA 90:4
KAUGURCIEMS-HOPJORA 4:8
HAIDARABADA-HOPJORA 59:25
BRAMAPUTRA-EIPATORIJA 105:13
RAVALPINDI-EIPATORIJA 149:6
KARAKORUMS-EIPATORIJA 20:78
VALPARAISO-EIPATORIJA 35:45
PORTMORSBI-EIPATORIJA 49:50
PUERTORIKO-EIPATORIJA 79:27
BELOMORSKA-EIPATORIJA 80:48
BELOMORSKA-PUERTORIKO 104:106
VALPARAISO-PUERTORIKO 118:69
RAVALPINDI-PUERTORIKO 16:39
BRAMAPUTRA-PUERTORIKO 78:90
KARAKORUMS-PUERTORIKO 91:24
PORTMORSBI-PUERTORIKO 99:41
RAVALPINDI-KALIFORNIJA 138:118
KARAKORUMS-KALIFORNIJA 25:126
VALPARAISO-KALIFORNIJA 44:67
BRAMAPUTRA-KALIFORNIJA 81:75
BELOMORSKA-KALIFORNIJA 88:63
PORTMORSBI-KALIFORNIJA 9:16
RAVALPINDI-RIODEORO 105:139
VALPARAISO-RIODEORO 107:65
KARAKORUMS-RIODEORO 141:17
BELOMORSKA-RIODEORO 2:127
BRAMAPUTRA-RIODEORO 83:143
PORTMORSBI-RIODEORO 84:29
RAVALPINDI-PORTMORSBI 139:29
BRAMAPUTRA-PORTMORSBI 143:63
VALPARAISO-PORTMORSBI 44:127
KARAKORUMS-PORTMORSBI 66:84
BELOMORSKA-PORTMORSBI 99:86
KARAKORUMS-BELOMORSKA 123:66
BRAMAPUTRA-BELOMORSKA 26:104
VALPARAISO-BELOMORSKA 75:63
RAVALPINDI-BELOMORSKA 79:103
PETROPAVLOVSKA-PORTMORSBI 93:38
BRAMAPUTRA-KARAKORUMS 102:27
RAVALPINDI-KARAKORUMS 116:88
VALPARAISO-KARAKORUMS 27:110
RAVALPINDI-SARAGOSA 12:96
BRAMAPUTRA-SARAGOSA 53:102
VALPARAISO-SARAGOSA 69:67
VALPARAISO-NOVOMOSKOVSKA 107:113
BRAMAPUTRA-NOVOMOSKOVSKA 121:53
RAVALPINDI-NOVOMOSKOVSKA 67:16
VALPARAISO-MINESOTA 103:65
BRAMAPUTRA-ALEKSOTA 109:94
RAVALPINDI-ALEKSOTA 116:85
VALPARAISO-ALEKSOTA 18:129
RAVALPINDI-MINESOTA 41:82
BRAMAPUTRA-MINESOTA 78:106
VALPARAISO-VESTLOTJANA 100:73
RAVALPINDI-VESTLOTJANA 61:148
BRAMAPUTRA-VESTLOTJANA 63:90
BRAMAPUTRA-LABANOVA 101:78
VALPARAISO-KEMEROVA 120:48
RAVALPINDI-GLAZGOVA 134:90
BRAMAPUTRA-GLAZGOVA 144:142
VALPARAISO-LABANOVA 4:21
BRAMAPUTRA-KEMEROVA 61:82
RAVALPINDI-LABANOVA 84:35
RAVALPINDI-KEMEROVA 87:104
VALPARAISO-GLAZGOVA 87:119
VALPARAISO-KRASNOVODSKA 125:3
BRAMAPUTRA-KRASNOVODSKA 57:108
RAVALPINDI-KRASNOVODSKA 62:70
PETROPAVLOVSKA-NOVOMOSKOVSKA 124:11
VARDURA-NOVOMOSKOVSKA 106:96
MIASURA-NOVOMOSKOVSKA 108:39
MELNUPE-NOVOMOSKOVSKA 111:132
OLSTERA-NOVOMOSKOVSKA 115:127
KANBERA-NOVOMOSKOVSKA 116:3
MADEIRA-NOVOMOSKOVSKA 132:10
LIELUPE-NOVOMOSKOVSKA 147:0
MAIKOPA-NOVOMOSKOVSKA 17:47
TAIMIRA-NOVOMOSKOVSKA 24:73
TAURUPE-NOVOMOSKOVSKA 39:34
MERGUPE-NOVOMOSKOVSKA 47:53
HOPJORA-NOVOMOSKOVSKA 47:62
SUMATRA-NOVOMOSKOVSKA 61:78
ANADIRA-NOVOMOSKOVSKA 81:119
HONIARA-NOVOMOSKOVSKA 83:137
NIAGARA-NOVOMOSKOVSKA 84:26
IZMAIRA-NOVOMOSKOVSKA 88:20
DENVERA-NOVOMOSKOVSKA 94:131
RAVALPINDI-MAIKOPA 119:118
BRAMAPUTRA-MAIKOPA 24:11
VALPARAISO-MAIKOPA 83:138
KENTERBERIJA-VALPARAISO 90:79
NOVOMOSKOVSKA-EIPATORIJA 22:102
RAVALPINDI-PETROPAVLOVSKA 118:133
VALPARAISO-PETROPAVLOVSKA 138:28
BRAMAPUTRA-PETROPAVLOVSKA 53:56
BRAMAPUTRA-MELNUPE 107:38
RAVALPINDI-MELNUPE 122:111
RAVALPINDI-MERGUPE 123:114
BRAMAPUTRA-MERGUPE 130:117
VALPARAISO-TAURUPE 133:64
RAVALPINDI-TAURUPE 15:116
BRAMAPUTRA-TAURUPE 22:122
RAVALPINDI-LIELUPE 25:26
BRAMAPUTRA-LIELUPE 33:76
VALPARAISO-MELNUPE 5:135
VALPARAISO-LIELUPE 77:30
VALPARAISO-MERGUPE 85:111
VALPARAISO-VENTSPILS 114:42
BRAMAPUTRA-KRUSTPILS 132:117
BRAMAPUTRA-SALASPILS 147:39
RAVALPINDI-SALASPILS 150:66
VALPARAISO-SALASPILS 23:55
VALPARAISO-KRUSTPILS 7:121
BRAMAPUTRA-VENTSPILS 70:135
RAVALPINDI-VENTSPILS 8:119
RAVALPINDI-KRUSTPILS 96:55
VALPARAISO-RAVALPINDI 80:59
BRAMAPUTRA-RAVALPINDI 9:38
BRAMAPUTRA-STARAPLANINA 130:124
VALPARAISO-STARAPLANINA 79:148
BRAMAPUTRA-TIRASPOLE 11:28
BRAMAPUTRA-TERNOPOLE 120:48
VALPARAISO-TERNOPOLE 56:102
VALPARAISO-TIRASPOLE 65:47
BRAMAPUTRA-MINEAPOLISA 1:58
VALPARAISO-MINEAPOLISA 91:70
VALPARAISO-PORTOPRENSA 18:27
BRAMAPUTRA-PORTOPRENSA 68:64
VALPARAISO-BRAMAPUTRA 129:68
VALPARAISO-OLSTERA 0:5
IZMAIRA-BRAMAPUTRA 116:120
DENVERA-BRAMAPUTRA 123:27
VALPARAISO-VARDURA 124:23
VALPARAISO-MIASURA 135:31
HONIARA-BRAMAPUTRA 138:44
TAIMIRA-BRAMAPUTRA 140:95
VALPARAISO-HONIARA 141:144
SUMATRA-BRAMAPUTRA 145:93
VALPARAISO-TAIMIRA 17:121
MADEIRA-BRAMAPUTRA 20:40
VALPARAISO-SUMATRA 21:137
MIASURA-BRAMAPUTRA 23:135
OLSTERA-BRAMAPUTRA 36:16
KANBERA-BRAMAPUTRA 39:51
VALPARAISO-KANBERA 42:10
VARDURA-BRAMAPUTRA 47:59
ANADIRA-BRAMAPUTRA 49:26
VALPARAISO-IZMAIRA 64:49
VALPARAISO-ANADIRA 73:135
HOPJORA-BRAMAPUTRA 78:67
VALPARAISO-DENVERA 81:105
VALPARAISO-MADEIRA 83:74
VALPARAISO-NIAGARA 84:79
NIAGARA-BRAMAPUTRA 93:149
VALPARAISO-HOPJORA 94:116
VALPARAISO-HAIDARABADA 150:12
NOVOMOSKOVSKA-SARAGOSA 129:118
NOVOMOSKOVSKA-KARAKORUMS 83:148
KENTERBERIJA-STARAPLANINA 57:44
PETROPAVLOVSKA-KRASNOVODSKA 49:119
HONDURASA-PORTOPRENSA 32:90
SKAGERAKS-PORTOPRENSA 53:28
KRUSTPILS-EIPATORIJA 108:147
SKAGERAKS-EIPATORIJA 111:94
TIRASPOLE-EIPATORIJA 136:66
TERNOPOLE-EIPATORIJA 22:49
VENTSPILS-EIPATORIJA 38:7
SALASPILS-EIPATORIJA 84:120
HONDURASA-EIPATORIJA 91:125
KRUSTPILS-PUERTORIKO 102:73
SALASPILS-PUERTORIKO 115:88
HONDURASA-PUERTORIKO 119:1
SKAGERAKS-PUERTORIKO 125:126
TERNOPOLE-PUERTORIKO 26:25
VENTSPILS-PUERTORIKO 36:125
TIRASPOLE-PUERTORIKO 7:14
KRUSTPILS-KALIFORNIJA 10:128
VENTSPILS-KALIFORNIJA 101:21
TERNOPOLE-KALIFORNIJA 102:131
SKAGERAKS-KALIFORNIJA 122:109
HONDURASA-KALIFORNIJA 46:130
TIRASPOLE-KALIFORNIJA 49:44
SALASPILS-KALIFORNIJA 51:63
VENTSPILS-RIODEORO 1:65
KRUSTPILS-RIODEORO 130:113
HONDURASA-RIODEORO 137:79
TIRASPOLE-RIODEORO 6:61
SKAGERAKS-RIODEORO 64:100
TERNOPOLE-RIODEORO 83:26
SALASPILS-RIODEORO 97:39
KENTERBERIJA-PETROPAVLOVSKA 107:120
STARAPLANINA-PETROPAVLOVSKA 148:32
KAUGURCIEMS-KEMEROVA 116:52
MINEAPOLISA-KEMEROVA 12:114
PORTOPRENSA-KEMEROVA 90:23
HAIDARABADA-KEMEROVA 97:150
VENTSPILS-PORTMORSBI 116:110
SKAGERAKS-PORTMORSBI 126:43
SALASPILS-PORTMORSBI 2:116
HONDURASA-PORTMORSBI 24:125
TERNOPOLE-PORTMORSBI 31:134
TIRASPOLE-PORTMORSBI 41:9
KRUSTPILS-PORTMORSBI 63:91
KRUSTPILS-BELOMORSKA 116:73
SALASPILS-BELOMORSKA 38:20
HONDURASA-BELOMORSKA 42:13
TERNOPOLE-BELOMORSKA 55:27
SKAGERAKS-BELOMORSKA 6:67
TIRASPOLE-BELOMORSKA 61:68
VENTSPILS-BELOMORSKA 97:114
NOVOMOSKOVSKA-PORTMORSBI 65:134
KRASNOVODSKA-PUERTORIKO 109:133
STARAPLANINA-PUERTORIKO 35:11
KENTERBERIJA-PUERTORIKO 62:75
TERNOPOLE-KARAKORUMS 11:52
SKAGERAKS-KARAKORUMS 120:91
TIRASPOLE-KARAKORUMS 38:1
KRUSTPILS-KARAKORUMS 43:75
VENTSPILS-KARAKORUMS 78:71
SALASPILS-KARAKORUMS 82:120
HONDURASA-KARAKORUMS 86:107
STARAPLANINA-TAURUPE 120:100
KENTERBERIJA-TAURUPE 121:130
KANBERA-SALASPILS 109:44
VARDURA-KRUSTPILS 112:104
KANBERA-KRUSTPILS 116:104
ANADIRA-SALASPILS 117:125
IZMAIRA-SALASPILS 117:49
MIASURA-KRUSTPILS 117:99
TAIMIRA-VENTSPILS 129:105
ANADIRA-VENTSPILS 130:34
HOPJORA-VENTSPILS 133:54
MIASURA-VENTSPILS 140:144
OLSTERA-VENTSPILS 140:91
NIAGARA-KRUSTPILS 141:14
IZMAIRA-VENTSPILS 17:82
SUMATRA-SALASPILS 19:112
HONIARA-KRUSTPILS 21:113
OLSTERA-KRUSTPILS 26:139
DENVERA-SALASPILS 33:116
VARDURA-SALASPILS 36:34
TAIMIRA-KRUSTPILS 4:61
NIAGARA-VENTSPILS 5:63
TAIMIRA-SALASPILS 51:74
HONIARA-VENTSPILS 53:46
HONIARA-SALASPILS 54:94
ANADIRA-KRUSTPILS 59:119
DENVERA-KRUSTPILS 62:134
KANBERA-VENTSPILS 63:106
DENVERA-VENTSPILS 72:61
HOPJORA-SALASPILS 75:109
MADEIRA-VENTSPILS 75:136
OLSTERA-SALASPILS 8:47
VARDURA-VENTSPILS 82:95
NIAGARA-SALASPILS 83:55
SUMATRA-VENTSPILS 84:7
IZMAIRA-KRUSTPILS 87:84
SUMATRA-KRUSTPILS 88:146
HOPJORA-KRUSTPILS 90:102
MIASURA-SALASPILS 93:88
MADEIRA-KRUSTPILS 94:48
MADEIRA-SALASPILS 95:61
TERNOPOLE-SARAGOSA 105:49
KRUSTPILS-SARAGOSA 130:87
SALASPILS-SARAGOSA 141:104
SKAGERAKS-SARAGOSA 23:31
HONDURASA-SARAGOSA 38:27
TIRASPOLE-SARAGOSA 5:129
VENTSPILS-SARAGOSA 78:112
LABANOVA-PORTMORSBI 100:142
KEMEROVA-PORTMORSBI 114:2
ALEKSOTA-PORTMORSBI 13:130
GLAZGOVA-PORTMORSBI 26:122
SARAGOSA-PORTMORSBI 61:18
MINESOTA-PORTMORSBI 66:15
GLAZGOVA-BELOMORSKA 100:86
MINESOTA-BELOMORSKA 101:143
LABANOVA-BELOMORSKA 149:37
SARAGOSA-BELOMORSKA 23:69
KEMEROVA-BELOMORSKA 74:128
ALEKSOTA-BELOMORSKA 83:50
TIRASPOLE-NOVOMOSKOVSKA 105:19
TERNOPOLE-NOVOMOSKOVSKA 30:97
KRUSTPILS-NOVOMOSKOVSKA 4:51
HONDURASA-NOVOMOSKOVSKA 52:111
SALASPILS-NOVOMOSKOVSKA 6:41
SKAGERAKS-NOVOMOSKOVSKA 93:73
VENTSPILS-NOVOMOSKOVSKA 95:78
KENTERBERIJA-KRASNOVODSKA 82:91
STARAPLANINA-KRASNOVODSKA 93:74
KAUGURCIEMS-ALEKSOTA 118:120
MINEAPOLISA-MINESOTA 118:122
HAIDARABADA-ALEKSOTA 128:20
PORTOPRENSA-ALEKSOTA 20:94
KAUGURCIEMS-MINESOTA 30:25
VESTLOTJANA-MINESOTA 43:81
HAIDARABADA-MINESOTA 44:54
PORTOPRENSA-MINESOTA 63:38
VESTLOTJANA-ALEKSOTA 76:20
MINEAPOLISA-ALEKSOTA 91:73
PORTOPRENSA-VENTSPILS 109:104
KAUGURCIEMS-VENTSPILS 134:22
MINEAPOLISA-SALASPILS 20:1
KAUGURCIEMS-SALASPILS 46:116
HAIDARABADA-VENTSPILS 46:136
PORTOPRENSA-SALASPILS 49:72
MINEAPOLISA-VENTSPILS 55:61
HAIDARABADA-SALASPILS 87:50
HAIDARABADA-TIRASPOLE 107:120
KAUGURCIEMS-TIRASPOLE 57:46
PORTOPRENSA-TIRASPOLE 79:29
MINEAPOLISA-TIRASPOLE 98:142
STARAPLANINA-KRUSTPILS 18:65
KENTERBERIJA-KRUSTPILS 97:45
KENTERBERIJA-MIASURA 128:140
SKAGERAKS-ALEKSOTA 122:79
SALASPILS-MINESOTA 128:98
VENTSPILS-ALEKSOTA 130:48
TIRASPOLE-ALEKSOTA 132:62
KRUSTPILS-ALEKSOTA 134:147
KRUSTPILS-MINESOTA 137:13
VENTSPILS-MINESOTA 2:74
HONDURASA-ALEKSOTA 26:148
TERNOPOLE-ALEKSOTA 39:131
TIRASPOLE-MINESOTA 6:45
SALASPILS-ALEKSOTA 78:125
TERNOPOLE-MINESOTA 88:13
SKAGERAKS-MINESOTA 89:102
HONDURASA-MINESOTA 95:29
KENTERBERIJA-OLSTERA 73:24
TERNOPOLE-VESTLOTJANA 115:96
HONDURASA-VESTLOTJANA 125:45
TIRASPOLE-VESTLOTJANA 139:149
KRUSTPILS-VESTLOTJANA 148:96
SKAGERAKS-VESTLOTJANA 40:144
SALASPILS-VESTLOTJANA 91:26
VENTSPILS-VESTLOTJANA 93:127
KRASNOVODSKA-VESTLOTJANA 36:100
STARAPLANINA-VESTLOTJANA 38:4
KENTERBERIJA-VESTLOTJANA 40:76
KRASNOVODSKA-PORTMORSBI 131:104
KENTERBERIJA-PORTMORSBI 132:44
STARAPLANINA-PORTMORSBI 51:104
KENTERBERIJA-PORTOPRENSA 136:28
HAIDARABADA-EIPATORIJA 134:103
PORTOPRENSA-EIPATORIJA 24:130
KALIFORNIJA-EIPATORIJA 52:134
VESTLOTJANA-EIPATORIJA 58:20
KAUGURCIEMS-EIPATORIJA 88:135
MINEAPOLISA-EIPATORIJA 99:81
KAUGURCIEMS-PUERTORIKO 141:49
KALIFORNIJA-PUERTORIKO 150:44
MINEAPOLISA-PUERTORIKO 26:119
VESTLOTJANA-PUERTORIKO 57:64
HAIDARABADA-PUERTORIKO 66:73
PORTOPRENSA-PUERTORIKO 77:43
MINEAPOLISA-KRUSTPILS 112:106
PORTOPRENSA-KRUSTPILS 119:137
KAUGURCIEMS-KRUSTPILS 29:54
HAIDARABADA-KRUSTPILS 61:58
HAIDARABADA-SUMATRA 131:59
KAUGURCIEMS-SUMATRA 41:44
KENTERBERIJA-VENTSPILS 59:132
STARAPLANINA-VENTSPILS 78:21
PETROPAVLOVSKA-PUERTORIKO 55:104
SARAGOSA-KARAKORUMS 132:119
ALEKSOTA-KARAKORUMS 17:82
GLAZGOVA-KARAKORUMS 26:107
MINESOTA-KARAKORUMS 45:37
KEMEROVA-KARAKORUMS 56:45
LABANOVA-KARAKORUMS 6:120
HAIDARABADA-TAURUPE 106:148
KAUGURCIEMS-LIELUPE 110:21
MINEAPOLISA-LIELUPE 114:120
KAUGURCIEMS-TAURUPE 115:90
PORTOPRENSA-TAURUPE 118:1
HAIDARABADA-LIELUPE 12:118
MINEAPOLISA-MERGUPE 122:4
KAUGURCIEMS-MELNUPE 23:114
PORTOPRENSA-LIELUPE 31:3
PORTOPRENSA-MELNUPE 34:90
PORTOPRENSA-MERGUPE 47:91
HAIDARABADA-MERGUPE 48:32
HAIDARABADA-MELNUPE 66:21
MINEAPOLISA-MELNUPE 68:62
KAUGURCIEMS-MERGUPE 72:125
MINEAPOLISA-TAURUPE 85:99
KAUGURCIEMS-MIASURA 21:18
HAIDARABADA-MIASURA 40:101
HAIDARABADA-VARDURA 6:97
KAUGURCIEMS-VARDURA 63:1
KAUGURCIEMS-HONDURASA 47:75
SKAGERAKS-BRAMAPUTRA 22:40
HONDURASA-BRAMAPUTRA 68:1
KRUSTPILS-LABANOVA 1:15
HONDURASA-KEMEROVA 100:67
TIRASPOLE-LABANOVA 114:37
SALASPILS-KEMEROVA 115:26
VENTSPILS-LABANOVA 118:9
TIRASPOLE-KEMEROVA 13:121
SKAGERAKS-KEMEROVA 14:80
TERNOPOLE-LABANOVA 24:138
VENTSPILS-KEMEROVA 28:102
HONDURASA-LABANOVA 29:65
SKAGERAKS-GLAZGOVA 33:21
TIRASPOLE-GLAZGOVA 34:3
HONDURASA-GLAZGOVA 35:87
SALASPILS-GLAZGOVA 39:131
KRUSTPILS-KEMEROVA 46:23
TERNOPOLE-GLAZGOVA 48:100
SALASPILS-LABANOVA 49:71
VENTSPILS-GLAZGOVA 71:2
SKAGERAKS-LABANOVA 77:68
TERNOPOLE-KEMEROVA 81:43
KRUSTPILS-GLAZGOVA 89:102
KENTERBERIJA-DENVERA 136:74
HONDURASA-KRASNOVODSKA 114:101
VENTSPILS-KRASNOVODSKA 119:139
TERNOPOLE-KRASNOVODSKA 132:77
KRUSTPILS-KRASNOVODSKA 149:69
TIRASPOLE-KRASNOVODSKA 58:100
SALASPILS-KRASNOVODSKA 69:28
SKAGERAKS-KRASNOVODSKA 96:107
