100
SINSITIJA-LIZUMS 0:122
VAGADUGU-PRIPETE 70:123
KUMPOTE-BRJANSKA 70:14
TARENTO-NEBRASKA 70:18
PLIMUTA-KAVARSKA 70:27
VADAKSTE-SANHOSE 70:50
EIFRATA-SOVETSKA 70:84
KUVEITA-EVERESTS 70:9
SINSITIJA-ALTAJS 70:9
ANGARSKA-TBILISI 70:94
KAUNATA-JAKUTSKA 70:96
KUVEITA-KAHOVSKA 71:128
SOVETSKA-ENGELSA 71:13
UTREHTA-ALAUKSTS 71:23
HOLIVUDA-SALANTA 71:43
VALLETA-BRJANSKA 72:148
DUBULTI-KIROVSKA 72:29
VAINUTA-SOVETSKA 72:37
EVERESTS-KUZBASS 72:44
NUKUSU-KINGSTONA 72:84
NUKUSU-KULAUTUVA 72:86
KUMPOTE-ALAUKSTS 72:88
VALLETA-IRKUTSKA 73:102
MANHATANA-LIZUMS 73:119
TORONTO-EVERESTS 73:147
ELBRUSS-KIROVSKA 73:20
JAKUTSKA-KINROSA 73:69
KRAKATAU-TEKSASA 74:0
DUBULTI-KRAKATAU 74:10
ALATAU-SINSITIJA 74:124
HAMILTONA-TUKUMS 74:140
DORSETA-KIROVSKA 74:144
KUMPOTE-KIROVSKA 74:23
MACESTA-ALAUKSTS 74:32
TOLJATI-BELFASTA 74:44
JAKUTSKA-MANAUSA 74:50
MAPUTU-KINGSTONA 74:55
MORICSALA-ALTAJS 74:76
PRIPETE-ALAUKSTS 74:83
MAPUTU-FEODOSIJA 75:1
BIZERTA-VADAKSTE 75:116
VORKUTA-SOVETSKA 75:117
KALKUTA-NEBRASKA 75:13
KARPATI-SOVETSKA 75:14
VORKUTA-LUGANSKA 75:47
ATLANTA-IRKUTSKA 75:69
TORONTO-KAHOVSKA 76:1
VORKUTA-IRKUTSKA 76:131
TRIESTE-SARANSKA 76:3
LUGANSKA-SASEKSA 76:32
VAGADUGU-VALLETA 76:65
BEIRUTA-NEBRASKA 77:103
KAVARSKA-TBILISI 77:117
ATLANTA-EVERESTS 77:128
HOLIVUDA-LAPLATA 77:132
TARENTO-BELFASTA 77:65
KAVARSKA-SANHOSE 77:66
KALKUTA-IRKUTSKA 77:83
TARENTO-VADAKSTE 78:13
KUVEITA-BRJANSKA 78:2
UTREHTA-KAHOVSKA 78:4
KUZBASS-NEBRASKA 78:73
ALAUKSTS-TBILISI 78:98
JAKUTSKA-SASEKSA 79:111
NUKUSU-SINSITIJA 79:137
VAGADUGU-AIZPUTE 79:139
ERFURTE-IRKUTSKA 79:45
TARENTO-SOVETSKA 79:52
DORSETA-ANGARSKA 79:54
BIZERTA-KAVARSKA 79:61
EVERESTS-TAUNUSA 8:0
KALKUTA-BELFASTA 8:110
KALKUTA-BRJANSKA 8:121
JAKUTSKA-KUTAISI 8:14
KALKUTA-VADAKSTE 8:43
PLIMUTA-ANGARSKA 8:54
NEBRASKA-KANZASA 8:58
DUBULTI-VADAKSTE 80:115
DORSETA-BELFASTA 80:123
VAGADUGU-KINROSA 80:141
SARANSKA-TEKSASA 80:38
KUMPOTE-IRKUTSKA 80:39
KRAKATAU-KAUNATA 80:53
ATLANTA-BELFASTA 80:86
ATABASKA-TAUNUSA 80:97
BEIRUTA-EVERESTS 81:105
VAINUTA-NEBRASKA 81:135
KAVARSKA-KINROSA 81:19
MACESTA-SARANSKA 81:22
DUBULTI-LUGANSKA 81:22
PRIPETE-ATABASKA 81:24
PRIPETE-IRKUTSKA 81:50
HOLIVUDA-BIZERTA 82:103
KAHOVSKA-TAUNUSA 82:104
KRAKATAU-BEIRUTA 82:132
TORONTO-IRKUTSKA 82:135
KIROVSKA-KANZASA 82:19
DORSETA-JAKUTSKA 82:52
KAVARSKA-MANAUSA 82:92
TOLJATI-KIROVSKA 83:119
MACESTA-ATABASKA 83:119
BELFASTA-KANZASA 83:127
DORSETA-VADAKSTE 83:148
KULAUTUVA-ALTAJS 83:149
ANGARSKA-KINROSA 83:28
TARENTO-LUGANSKA 83:38
LAPLATA-JAKUTSKA 83:47
VADAKSTE-TBILISI 84:150
LUGANSKA-MEMFISA 84:26
NUKUSU-VALENSIJA 84:37
ATLANTA-ATABASKA 84:38
TOLJATI-SOVETSKA 85:122
TRIESTE-ALAUKSTS 85:130
KARPATI-NEBRASKA 85:134
FOLKSTONA-VENERS 85:149
NUKUSU-BELOSTOKA 85:17
MENHETENA-VENERS 85:74
SOVETSKA-KUTAISI 85:75
EVERESTS-TBILISI 85:9
VAINUTA-JAKUTSKA 85:9
VORKUTA-ALAUKSTS 85:90
HAMILTONA-VENERS 86:143
MACESTA-JAKUTSKA 86:7
KUVEITA-KIROVSKA 86:8
ELBRUSS-NEBRASKA 86:98
KRAKATAU-KUVEITA 87:104
BIZERTA-JAKUTSKA 87:112
ALATAU-BELOSTOKA 87:127
KUZBASS-SARANSKA 87:22
KIROVSKA-TAUNUSA 87:52
SARANSKA-KANZASA 87:82
KALKUTA-EVERESTS 87:98
SARANSKA-TAUNUSA 88:102
DUBULTI-ANGARSKA 88:139
FOLKSTONA-ALTAJS 88:5
VALENSIJA-ALTAJS 89:14
EVERESTS-KUTAISI 89:38
AIZPUTE-NEBRASKA 89:54
HOLIVUDA-KUZBASS 89:7
VAGADUGU-KUVEITA 89:76
ARARATS-KAHOVSKA 89:78
SALANTA-ALAUKSTS 89:84
ALAUKSTS-KINROSA 9:19
HOLIVUDA-PLIMUTA 9:5
BIZERTA-BELFASTA 9:50
LUGANSKA-MANAUSA 9:52
KUMPOTE-BELFASTA 9:73
UTREHTA-NEBRASKA 9:80
MENHETENA-ALTAJS 9:95
LAPLATA-BRJANSKA 90:116
BEIRUTA-SOVETSKA 90:121
MACESTA-SOVETSKA 90:15
KUMPOTE-ATABASKA 90:60
VAGADUGU-KUTAISI 90:94
VADAKSTE-PEIPUSS 91:33
VALLETA-LUGANSKA 91:4
VAGADUGU-KALKUTA 91:62
KAUNATA-ALAUKSTS 91:93
VAGADUGU-SALANTA 92:107
PRIPETE-VADAKSTE 92:114
PRIPETE-KAHOVSKA 92:135
VAGADUGU-KUZBASS 92:42
BELOSTOKA-VEZUVS 92:68
EIFRATA-VADAKSTE 93:111
KUMPOTE-EVERESTS 93:129
VAGADUGU-MACESTA 93:147
KAUNATA-KAHOVSKA 93:20
IRKUTSKA-MADRASA 93:30
LAPLATA-KAHOVSKA 93:76
KUVEITA-IRKUTSKA 93:94
BEIRUTA-JAKUTSKA 93:97
PEIPUSS-SOVETSKA 94:149
PLIMUTA-KIROVSKA 94:48
EVERESTS-KANZASA 94:5
KIROVSKA-KINROSA 94:58
KUVEITA-LUGANSKA 95:1
VAINUTA-KAVARSKA 95:115
ERFURTE-KIROVSKA 95:15
SALANTA-KAHOVSKA 95:39
SOVETSKA-MEMFISA 95:42
IRKUTSKA-MANAUSA 95:68
EVERESTS-KINROSA 96:100
SOVETSKA-KANZASA 96:104
ARARATS-LUGANSKA 96:113
VADAKSTE-ELBRUSS 96:127
MACESTA-KIROVSKA 96:136
ATABASKA-KUTAISI 96:2
MENHETENA-LIZUMS 96:29
KAHOVSKA-BEBRUSI 96:48
PLIMUTA-LUGANSKA 96:7
NEBRASKA-KUTAISI 97:119
ARARATS-SOVETSKA 97:33
PEIPUSS-LUGANSKA 97:49
PRIPETE-KIROVSKA 97:90
DONBASS-SOVETSKA 98:100
AIZPUTE-BRJANSKA 98:106
TRIESTE-NEBRASKA 98:117
MACESTA-ANGARSKA 98:59
BRJANSKA-TBILISI 98:61
EIFRATA-BELFASTA 98:65
LUGANSKA-BEBRUSI 98:94
MACESTA-VADAKSTE 99:104
ANGARSKA-TAUNUSA 99:104
MAPUTU-MORICSALA 99:106
VADAKSTE-MANAUSA 99:112
HOLIVUDA-PEIPUSS 99:134
ARARATS-ATABASKA 99:135
HOLIVUDA-ELBRUSS 99:40
EIFRATA-IRKUTSKA 99:49
KARPATI-KRAKATAU 99:60
MAPUTU-VENERS 71:10
ERFURTE-VEZUVS 3:102
LIZUMS-VENERS 59:105
NUKUSU-ERFURTE 2:11
LIZUMS-TUKUMS 48:110
AIZPUTE-VENERS 9:112
VEZUVS-VENERS 90:119
DUBULTI-VENERS 2:120
ALTAJS-VENERS 64:124
KUTAISI-VENERS 1:126
ALATAU-ERFURTE 3:132
VEZUVS-ALTAJS 68:135
TUKUMS-VEZUVS 93:135
LIZUMS-VEZUVS 84:138
MAPUTU-ELBRUSS 4:143
BIZERTA-VEZUVS 7:149
NUKUSU-MAPUTU 67:150
NUKUSU-LIZUMS 94:2
TUKUMS-VENERS 86:27
TAUNUSA-VENERS 5:28
LIZUMS-ALTAJS 88:40
NUKUSU-VENERS 41:43
ALATAU-TUKUMS 53:45
TARENTO-VEZUVS 0:56
MAPUTU-LIZUMS 21:57
MAPUTU-MACESTA 7:58
ALATAU-VENERS 38:60
MAPUTU-TUKUMS 50:61
NUKUSU-ALTAJS 21:62
VALLETA-ALTAJS 4:69
ALATAU-BIZERTA 4:70
ALATAU-VEZUVS 61:72
KANZASA-VENERS 5:73
ALATAU-ENGELSA 3:75
MAPUTU-VEZUVS 90:76
MAPUTU-ALTAJS 60:78
ALATAU-KUVEITA 5:80
NUKUSU-TUKUMS 42:94
KUTAISI-ALTAJS 10:100
ELBRUSS-LIZUMS 60:105
DUBULTI-TAUNUSA 0:108
KARPATI-LIZUMS 10:111
MAPUTU-SASEKSA 80:12
KARPATI-PLIMUTA 0:121
ELBRUSS-VENERS 40:135
MAPUTU-ARARATS 30:14
BEIRUTA-TUKUMS 20:141
ALATAU-BEIRUTA 60:146
SOVETSKA-VEZUVS 0:148
VORKUTA-MADRASA 0:150
ERFURTE-KUZBASS 0:17
KALKUTA-VENERS 40:25
NUKUSU-TAUNUSA 50:27
NUKUSU-TOLJATI 40:32
TARENTO-LIZUMS 20:41
DORSETA-KANZASA 0:44
MADRASA-VENERS 20:47
TORONTO-ALTAJS 40:49
KUZBASS-ALTAJS 10:52
UTREHTA-ALTAJS 50:57
KUZBASS-TUKUMS 90:6
TOLJATI-KINROSA 0:61
TEKSASA-VENERS 20:62
TARENTO-KALKUTA 0:64
NUKUSU-MANAUSA 90:66
PLIMUTA-MANAUSA 0:70
PRIPETE-ALTAJS 30:78
TARENTO-KINROSA 0:81
NUKUSU-PRIPETE 80:82
ALATAU-KALKUTA 60:90
MEMFISA-ALTAJS 100:27
EIFRATA-ALTAJS 100:36
ALATAU-TOLJATI 100:73
MAPUTU-PEIPUSS 101:100
ALATAU-MACESTA 101:116
NUKUSU-BEIRUTA 101:127
SANHOSE-LIZUMS 101:72
MANAUSA-LIZUMS 101:85
ATLANTA-VENERS 103:117
MAPUTU-KAUNATA 103:122
ENGELSA-VENERS 103:138
DORSETA-TUKUMS 104:117
PEIPUSS-VEZUVS 104:32
ELBRUSS-ALTAJS 105:1
EIFRATA-TUKUMS 105:114
ERFURTE-LIZUMS 106:67
KALKUTA-VEZUVS 107:111
MAPUTU-KUZBASS 107:120
NUKUSU-ATLANTA 107:146
MAPUTU-TEKSASA 107:77
BEIRUTA-VENERS 108:53
LAPLATA-VEZUVS 108:6
LAPLATA-VENERS 109:81
ATLANTA-LIZUMS 109:84
VAINUTA-LIZUMS 109:88
DONBASS-KINROSA 1:0
ERFURTE-MEMFISA 1:10
TARENTO-KAUNATA 1:105
KUMPOTE-VENERS 31:106
ELBRUSS-VEZUVS 61:109
ALATAU-ELBRUSS 81:114
VAINUTA-ELBRUSS 1:118
DUBULTI-DORSETA 1:121
LAPLATA-ALTAJS 81:127
TORONTO-KINROSA 1:128
NUKUSU-LAPLATA 21:132
MAPUTU-EIFRATA 51:145
PRIPETE-SANHOSE 1:17
BIZERTA-VENERS 11:17
MAPUTU-TAUNUSA 11:22
DUBULTI-ALTAJS 51:23
NUKUSU-MACESTA 11:32
TARENTO-TUKUMS 51:32
UTREHTA-VEZUVS 81:33
KUVEITA-ALTAJS 71:39
NUKUSU-TRIESTE 61:41
NUKUSU-ALATAU 131:51
ALATAU-VORKUTA 31:6
NUKUSU-KUVEITA 81:61
VAINUTA-TUKUMS 71:62
DORSETA-VEZUVS 71:65
EIFRATA-LIZUMS 61:70
KAUNATA-KANZASA 1:75
MAPUTU-TBILISI 51:78
SALANTA-MEMFISA 1:83
NUKUSU-MEMFISA 11:89
NUKUSU-ELBRUSS 81:89
KIROVSKA-ALTAJS 10:136
NUKUSU-SALANTA 110:147
BEBRUSI-VENERS 110:149
NEBRASKA-LIZUMS 10:29
VAINUTA-PEIPUSS 10:53
ALATAU-TARENTO 110:82
ARARATS-TRIESTE 10:96
KARPATI-AIZPUTE 100:105
SOVETSKA-TUKUMS 100:116
ATLANTA-MADRASA 100:145
EIFRATA-MANAUSA 100:21
KUMPOTE-LAPLATA 100:3
TRIESTE-KUTAISI 100:38
VAINUTA-KINROSA 100:72
BIZERTA-TEKSASA 100:73
AIZPUTE-BIZERTA 100:85
KUMPOTE-UTREHTA 100:86
TARENTO-KUMPOTE 101:100
TARENTO-KANZASA 101:113
KAHOVSKA-LIZUMS 101:147
KUVEITA-KUZBASS 101:17
DORSETA-MEMFISA 101:23
SALANTA-EIFRATA 101:39
SALANTA-LAPLATA 101:5
KAUNATA-TAUNUSA 101:5
KARPATI-KINROSA 101:52
MANAUSA-TEKSASA 101:53
MEMFISA-KANZASA 101:60
ARARATS-PEIPUSS 101:81
KARPATI-VORKUTA 101:9
PLIMUTA-MEMFISA 102:120
MANAUSA-MADRASA 102:142
KARPATI-BEIRUTA 102:143
TRIESTE-VALLETA 102:146
ALAUKSTS-ALTAJS 102:150
NUKUSU-ALAUKSTS 102:17
TORONTO-KUMPOTE 102:49
NUKUSU-SARANSKA 102:50
AIZPUTE-EIFRATA 102:54
ENGELSA-KINROSA 102:55
ALATAU-SARANSKA 102:55
VALLETA-ATLANTA 102:96
TORONTO-KUZBASS 102:99
ATLANTA-ELBRUSS 103:1
EVERESTS-VEZUVS 103:110
ALATAU-KAHOVSKA 103:133
VADAKSTE-ALTAJS 103:146
ALATAU-ATABASKA 103:28
BEIRUTA-VAINUTA 103:3
SALANTA-BEBRUSI 103:66
SARANSKA-TUKUMS 104:100
MACESTA-TEKSASA 104:117
BEIRUTA-KINROSA 104:137
ERFURTE-TBILISI 104:14
KUMPOTE-VALLETA 104:148
TARENTO-PLIMUTA 104:20
TORONTO-KUVEITA 104:73
TARENTO-LAPLATA 104:79
TOLJATI-TEKSASA 105:114
DUBULTI-VORKUTA 105:115
ELBRUSS-ENGELSA 105:116
ERFURTE-KALKUTA 105:13
KARPATI-KUMPOTE 105:36
ALATAU-BRJANSKA 105:68
KUVEITA-BIZERTA 105:88
PRIPETE-PLIMUTA 106:100
TBILISI-KANZASA 106:128
PRIPETE-BEBRUSI 106:138
MAPUTU-JAKUTSKA 106:142
KUVEITA-TEKSASA 106:50
BIZERTA-SASEKSA 106:53
TRIESTE-TBILISI 106:90
DONBASS-KUZBASS 107:115
SANHOSE-TEKSASA 107:117
DONBASS-TAUNUSA 107:18
VALLETA-TEKSASA 107:21
TRIESTE-ERFURTE 107:4
TORONTO-DONBASS 107:67
MAPUTU-BRJANSKA 107:7
ERFURTE-LAPLATA 107:97
VAINUTA-ENGELSA 108:101
ERFURTE-ATLANTA 108:109
BEIRUTA-MACESTA 108:115
KUMPOTE-KALKUTA 108:133
VAINUTA-DORSETA 108:26
TORONTO-LAPLATA 108:32
KINROSA-TEKSASA 108:40
EIFRATA-VORKUTA 108:62
JAKUTSKA-ALTAJS 109:121
SALANTA-TEKSASA 109:132
MACESTA-DONBASS 109:149
UTREHTA-KAUNATA 109:44
VALLETA-MANAUSA 109:45
PLIMUTA-KINROSA 109:47
AIZPUTE-VAINUTA 109:51
TBILISI-MADRASA 109:58
KUMPOTE-KUZBASS 109:82
TAUNUSA-MADRASA 109:98
NUKUSU-EVERESTS 109:99
EIFRATA-DORSETA 11:108
VORKUTA-KINROSA 11:113
KUMPOTE-TEKSASA 11:145
BIZERTA-MEMFISA 11:146
TORONTO-VEZUVS 111:27
ALATAU-ANGARSKA 11:32
ARARATS-KUMPOTE 11:32
VALLETA-VEZUVS 111:38
ATLANTA-BEBRUSI 11:42
NUKUSU-KRAKATAU 11:57
KALKUTA-TAUNUSA 11:61
DONBASS-LIZUMS 111:62
DUBULTI-EIFRATA 11:66
BEIRUTA-DONBASS 11:69
KAUNATA-VENERS 111:91
ARARATS-KAUNATA 110:105
VALLETA-TBILISI 110:109
KARPATI-EIFRATA 110:11
ATLANTA-SASEKSA 110:116
EIFRATA-KINROSA 110:12
TOLJATI-MEMFISA 110:13
DONBASS-MADRASA 110:143
BELFASTA-LIZUMS 110:62
LAPLATA-KUTAISI 110:93
VALLETA-MACESTA 111:102
KUVEITA-PLIMUTA 111:127
MACESTA-KUTAISI 111:19
TRIESTE-PLIMUTA 111:29
TOLJATI-DONBASS 111:54
TORONTO-TRIESTE 111:55
PRIPETE-KUVEITA 111:98
ARARATS-TOLJATI 112:107
ARARATS-SALANTA 112:117
MEMFISA-TEKSASA 112:12
TOLJATI-SANHOSE 112:15
BEBRUSI-TAUNUSA 112:2
KUZBASS-SANHOSE 112:57
TOLJATI-ENGELSA 112:71
PRIPETE-PEIPUSS 112:75
ARARATS-ERFURTE 112:85
ATLANTA-KUZBASS 113:14
UTREHTA-EIFRATA 113:14
PEIPUSS-SASEKSA 113:25
KAUNATA-BEIRUTA 113:56
KUVEITA-VAINUTA 113:58
ATLANTA-KUTAISI 113:6
VORKUTA-MANAUSA 113:61
KUMPOTE-MEMFISA 113:75
BEIRUTA-MANAUSA 113:83
VALLETA-BEIRUTA 113:87
BEIRUTA-PEIPUSS 113:99
BRJANSKA-LIZUMS 114:30
PEIPUSS-MANAUSA 114:74
KAUNATA-KUZBASS 114:93
KALKUTA-KAUNATA 115:136
KARPATI-LAPLATA 115:141
DORSETA-TAUNUSA 115:21
ARARATS-DONBASS 115:5
PEIPUSS-ENGELSA 115:61
AIZPUTE-BEBRUSI 115:63
PRIPETE-DONBASS 115:74
TORONTO-SALANTA 115:9
KANZASA-MADRASA 115:99
KUTAISI-KINROSA 116:12
KRAKATAU-VEZUVS 116:126
ELBRUSS-BEBRUSI 116:18
SASEKSA-MANAUSA 116:73
KUMPOTE-TRIESTE 117:10
VALLETA-KUZBASS 117:12
TARENTO-SASEKSA 117:38
TORONTO-PLIMUTA 117:53
KAVARSKA-ALTAJS 118:10
NUKUSU-LUGANSKA 118:41
TARENTO-ERFURTE 118:61
ERFURTE-UTREHTA 118:68
MACESTA-MEMFISA 118:8
LUGANSKA-TUKUMS 118:82
ARARATS-VAINUTA 118:83
NUKUSU-KAVARSKA 118:83
TRIESTE-SALANTA 119:103
KALKUTA-ELBRUSS 119:138
UTREHTA-MANAUSA 119:34
ELBRUSS-MADRASA 119:70
ARARATS-TBILISI 12:1
VALLETA-BEBRUSI 12:114
LAPLATA-TUKUMS 112:117
KAUNATA-SANHOSE 12:141
UTREHTA-MACESTA 12:27
KUVEITA-KUTAISI 12:38
ARARATS-PRIPETE 12:42
ENGELSA-VEZUVS 112:48
MACESTA-LIZUMS 112:90
SALANTA-MANAUSA 12:96
KUZBASS-KANZASA 120:117
KALKUTA-VAINUTA 120:125
DUBULTI-AIZPUTE 120:144
TOLJATI-MADRASA 120:28
SALANTA-TBILISI 120:35
VALLETA-LAPLATA 120:37
MEMFISA-MADRASA 120:39
TOLJATI-PRIPETE 120:82
ERFURTE-KANZASA 120:91
VALLETA-KANZASA 120:99
TARENTO-SALANTA 121:111
KRAKATAU-VENERS 121:132
SOVETSKA-ALTAJS 121:40
TORONTO-TBILISI 121:5
MAPUTU-ATABASKA 121:50
DUBULTI-KUVEITA 121:94
TRIESTE-MANAUSA 122:14
SALANTA-VORKUTA 122:17
PLIMUTA-LAPLATA 122:56
KAVARSKA-TUKUMS 122:63
SASEKSA-TAUNUSA 122:75
KIROVSKA-VENERS 122:83
TRIESTE-LAPLATA 122:89
DUBULTI-MACESTA 123:105
PLIMUTA-BIZERTA 123:112
SALANTA-MACESTA 123:114
SALANTA-VAINUTA 123:13
EVERESTS-TUKUMS 123:139
TARENTO-ENGELSA 123:145
PEIPUSS-KINROSA 123:2
LAPLATA-BEIRUTA 123:37
TOLJATI-KAUNATA 123:37
KUTAISI-TAUNUSA 123:56
VADAKSTE-TUKUMS 123:76
HOLIVUDA-VEZUVS 124:10
ARARATS-BEIRUTA 124:110
KUVEITA-PEIPUSS 124:53
KALKUTA-BEBRUSI 124:72
SALANTA-KUTAISI 124:74
TARENTO-SANHOSE 124:74
TRIESTE-KALKUTA 125:100
ENGELSA-MADRASA 125:105
NEBRASKA-ALTAJS 125:119
KALKUTA-SANHOSE 125:126
ARARATS-PLIMUTA 125:133
SANHOSE-MEMFISA 125:14
KARPATI-TBILISI 126:106
NUKUSU-KAHOVSKA 126:115
KAUNATA-PEIPUSS 126:120
TOLJATI-PLIMUTA 126:18
KARPATI-ERFURTE 126:19
ARARATS-TAUNUSA 126:2
ERFURTE-KUVEITA 126:50
BIZERTA-VAINUTA 126:69
DUBULTI-KUTAISI 126:73
AIZPUTE-ELBRUSS 126:95
MEMFISA-KINROSA 127:0
UTREHTA-MADRASA 127:50
TORONTO-BEIRUTA 127:52
KIROVSKA-TUKUMS 127:64
PEIPUSS-KUZBASS 128:11
ATLANTA-KALKUTA 128:36
KUMPOTE-VAINUTA 128:45
KUVEITA-MACESTA 128:6
ANGARSKA-LIZUMS 128:86
EVERESTS-ALTAJS 129:107
SASEKSA-KANZASA 129:110
EIFRATA-ELBRUSS 129:13
PEIPUSS-TEKSASA 129:130
ARARATS-VALLETA 129:19
SASEKSA-TEKSASA 129:22
ERFURTE-KUTAISI 129:3
TORONTO-MEMFISA 129:86
DORSETA-PEIPUSS 129:86
VALLETA-LIZUMS 113:104
BIZERTA-VALLETA 13:106
ARARATS-ALTAJS 113:110
KARPATI-UTREHTA 13:111
TORONTO-MANAUSA 13:126
TARENTO-EIFRATA 13:129
ATLANTA-MACESTA 13:132
BEBRUSI-TUKUMS 113:16
ALATAU-PLIMUTA 113:20
SALANTA-DORSETA 13:24
PLIMUTA-DORSETA 13:34
BRJANSKA-VEZUVS 13:4
TORONTO-KUTAISI 13:6
TOLJATI-ERFURTE 130:116
BEBRUSI-TBILISI 130:120
MAPUTU-KAHOVSKA 130:135
ATLANTA-KANZASA 130:143
DUBULTI-ENGELSA 130:3
DONBASS-MEMFISA 130:70
KARPATI-MANAUSA 131:109
DONBASS-TBILISI 131:120
ALATAU-JAKUTSKA 131:120
VAINUTA-SANHOSE 131:126
EIFRATA-PEIPUSS 131:126
ELBRUSS-SASEKSA 131:13
DUBULTI-SASEKSA 131:139
KARPATI-ATLANTA 131:23
TRIESTE-TEKSASA 131:25
KALKUTA-KUTAISI 131:45
VORKUTA-ELBRUSS 131:5
TARENTO-ELBRUSS 131:61
ERFURTE-VALLETA 131:63
TARENTO-TEKSASA 131:76
SALANTA-BIZERTA 131:87
VAINUTA-MANAUSA 132:14
KUVEITA-KALKUTA 132:20
DUBULTI-KARPATI 132:49
BEBRUSI-MEMFISA 132:59
BIZERTA-PEIPUSS 132:65
KAUNATA-MEMFISA 132:70
VORKUTA-BEBRUSI 132:91
UTREHTA-ENGELSA 133:116
TAUNUSA-KINROSA 133:28
AIZPUTE-LAPLATA 133:39
KANZASA-KINROSA 133:43
KUMPOTE-DONBASS 133:60
ARARATS-VORKUTA 134:100
PLIMUTA-KUTAISI 134:109
DUBULTI-BIZERTA 134:136
BIZERTA-DORSETA 134:48
TARENTO-DUBULTI 134:5
TBILISI-KINROSA 134:61
TORONTO-AIZPUTE 134:70
LAPLATA-KANZASA 134:92
TOLJATI-KUTAISI 135:127
PLIMUTA-TBILISI 135:129
TARENTO-PRIPETE 135:146
AIZPUTE-KINROSA 135:45
TOLJATI-BEBRUSI 135:78
TOLJATI-SASEKSA 135:83
KUVEITA-BEIRUTA 135:87
BIZERTA-MADRASA 136:133
TARENTO-DORSETA 136:23
DUBULTI-TRIESTE 136:31
PLIMUTA-BEBRUSI 136:40
BEBRUSI-MANAUSA 136:55
VORKUTA-KUZBASS 136:66
ERFURTE-KAUNATA 136:83
ERFURTE-TEKSASA 136:90
KALKUTA-TEKSASA 137:0
SANHOSE-TAUNUSA 137:112
NEBRASKA-VEZUVS 137:122
DONBASS-TEKSASA 137:129
TRIESTE-MADRASA 137:130
BEIRUTA-VORKUTA 137:139
MACESTA-TBILISI 137:47
VORKUTA-MEMFISA 137:53
KALKUTA-KINROSA 137:76
MAPUTU-VADAKSTE 137:77
KAUNATA-SASEKSA 137:81
BEIRUTA-MEMFISA 137:93
TOLJATI-BIZERTA 138:122
TOLJATI-KARPATI 138:142
PRIPETE-KALKUTA 138:26
VAGADUGU-TUKUMS 138:4
UTREHTA-KALKUTA 138:86
VALLETA-TAUNUSA 139:101
BEIRUTA-SANHOSE 139:13
TARENTO-TAUNUSA 139:134
EIFRATA-MADRASA 139:23
MEMFISA-MANAUSA 139:4
KARPATI-PEIPUSS 139:42
ATLANTA-BEIRUTA 139:60
EIFRATA-KUZBASS 139:8
UTREHTA-SANHOSE 139:84
KUMPOTE-TUKUMS 114:17
MAPUTU-KARPATI 114:29
SALANTA-KAUNATA 14:52
TBILISI-VEZUVS 114:79
KAUNATA-TBILISI 14:84
SASEKSA-TUKUMS 114:90
TARENTO-MACESTA 140:101
KUMPOTE-DORSETA 140:108
SALANTA-TAUNUSA 140:17
KUMPOTE-SASEKSA 140:38
DORSETA-TEKSASA 140:6
DORSETA-MADRASA 140:83
UTREHTA-BEIRUTA 140:99
ATLANTA-VORKUTA 141:11
UTREHTA-SASEKSA 141:40
TOLJATI-VAINUTA 142:114
PRIPETE-BIZERTA 142:136
ATLANTA-TBILISI 142:31
IRKUTSKA-VEZUVS 142:43
NUKUSU-ATABASKA 142:46
ELBRUSS-MEMFISA 142:52
TRIESTE-BIZERTA 142:87
AIZPUTE-KALKUTA 142:97
TORONTO-PRIPETE 143:123
VAGADUGU-ALATAU 143:141
VAINUTA-TAUNUSA 143:46
KARPATI-ELBRUSS 144:118
KUTAISI-KANZASA 144:126
BEIRUTA-KUZBASS 144:146
SALANTA-PEIPUSS 144:42
SALANTA-MADRASA 144:52
ALATAU-NEBRASKA 144:56
KUZBASS-TEKSASA 144:65
DORSETA-ENGELSA 144:66
KUVEITA-BEBRUSI 144:94
PLIMUTA-PEIPUSS 145:103
KARPATI-KUTAISI 145:140
VALLETA-MADRASA 145:61
KIROVSKA-VEZUVS 145:62
VALLETA-ELBRUSS 145:68
PRIPETE-MADRASA 145:7
KAVARSKA-VENERS 145:72
KARPATI-MACESTA 145:81
KUZBASS-TAUNUSA 145:88
KINROSA-MADRASA 146:104
KAUNATA-MANAUSA 146:105
DUBULTI-DONBASS 146:109
BIZERTA-KUTAISI 146:118
TOLJATI-LAPLATA 146:122
PRIPETE-UTREHTA 146:133
KAUNATA-KINROSA 146:52
DUBULTI-PEIPUSS 146:88
AIZPUTE-SALANTA 146:98
TOLJATI-PEIPUSS 147:116
PLIMUTA-MACESTA 147:19
SOVETSKA-VENERS 147:43
AIZPUTE-DORSETA 147:47
KUMPOTE-SANHOSE 147:78
TOLJATI-AIZPUTE 147:84
KUTAISI-ENGELSA 148:131
EIFRATA-VAINUTA 148:18
ERFURTE-SALANTA 148:2
BEIRUTA-TAUNUSA 148:65
TAUNUSA-TEKSASA 148:75
PLIMUTA-BEIRUTA 148:88
PEIPUSS-TAUNUSA 148:95
KUTAISI-TEKSASA 149:105
VADAKSTE-LIZUMS 149:144
TOLJATI-DORSETA 149:66
ARARATS-KARPATI 15:100
ELBRUSS-SANHOSE 15:148
KARPATI-TAUNUSA 15:29
ELBRUSS-KUTAISI 15:54
NUKUSU-JAKUTSKA 15:6
PLIMUTA-KALKUTA 15:69
